theta,A2,a,b,z,status
60,-4,5.7,8.2,-0.6,NotYet
60,-4,5.7,8.2,-0.4,NotYet
60,-4,5.7,8.2,-0.2,NotYet
60,-4,5.7,8.1,0.0,NotYet
60,-4,5.7,8.1,0.2,NotYet
60,-4,5.7,8.1,0.4,NotYet
60,-4,5.8,8.1,0.6,NotYet
60,-4,5.8,8.1,0.8,NotYet
60,-2,5.8,8.1,-1.0,NotYet
60,-2,5.8,8.1,-0.8,NotYet
60,-2,5.8,8.1,-0.6,NotYet
60,-2,5.8,8.1,-0.4,NotYet
60,-2,5.8,8.1,-0.2,NotYet
60,-2,5.8,8.1,0.0,NotYet
60,-2,5.8,8.1,0.2,NotYet
60,-2,5.8,8.1,0.4,NotYet
60,-2,5.8,8.1,0.6,NotYet
60,-2,5.8,8.1,0.8,NotYet
60,0,5.8,8.1,-1.0,NotYet
60,0,5.8,8.1,-0.8,NotYet
60,0,5.8,8.1,-0.6,NotYet
60,0,5.8,8.1,-0.4,NotYet
60,0,5.8,8.1,-0.2,NotYet
60,0,5.9,8.0,0.0,NotYet
60,0,5.9,8.0,0.2,NotYet
60,0,5.9,8.0,0.4,NotYet
60,0,5.9,8.0,0.6,NotYet
60,0,5.9,8.0,0.8,NotYet
60,2,5.9,8.1,-1.0,NotYet
60,2,5.9,8.1,-0.8,NotYet
60,2,5.9,8.1,-0.6,NotYet
60,2,5.9,8.1,-0.4,NotYet
60,2,5.9,8.1,-0.2,NotYet
60,2,5.9,8.1,0.0,NotYet
60,2,6.0,8.0,0.2,NotYet
60,2,6.0,8.0,0.4,NotYet
60,2,6.0,8.0,0.6,NotYet
60,2,6.0,8.1,0.8,NotYet
60,4,6.0,8.2,-1.0,NotYet
60,4,6.0,8.2,-0.8,NotYet
60,4,6.0,8.2,-0.6,NotYet
60,4,6.0,8.2,-0.4,NotYet
60,4,6.0,8.2,-0.2,NotYet
60,4,6.1,8.1,0.0,NotYet
60,4,6.1,8.1,0.2,NotYet
60,4,6.1,8.1,0.4,NotYet
60,4,6.1,8.1,0.6,NotYet
60,4,6.1,8.1,0.8,NotYet
60,6,6.0,8.3,-1.0,NotYet
60,6,6.1,8.2,-0.8,NotYet
60,6,6.1,8.2,-0.6,NotYet
60,6,6.1,8.2,-0.4,NotYet
60,6,6.1,8.2,-0.2,NotYet
60,6,6.1,8.2,0.0,NotYet
60,6,6.2,8.2,0.2,NotYet
60,6,6.2,8.2,0.4,NotYet
60,6,6.2,8.2,0.6,NotYet
60,6,6.1,8.2,0.8,NotYet
60,8,6.1,8.4,-1.0,NotYet
60,8,6.1,8.4,-0.8,NotYet
60,8,6.2,8.3,-0.6,NotYet
60,8,6.2,8.3,-0.4,NotYet
60,8,6.2,8.3,-0.2,NotYet
60,8,6.2,8.3,0.0,NotYet
60,8,6.2,8.3,0.2,NotYet
60,8,6.2,8.3,0.4,NotYet
60,8,6.2,8.3,0.6,NotYet
60,8,6.2,8.3,0.8,NotYet
60,10,6.2,8.4,-1.0,NotYet
60,10,6.2,8.5,-0.8,NotYet
60,10,6.2,8.5,-0.6,NotYet
60,10,6.2,8.5,-0.4,NotYet
60,10,6.2,8.5,-0.2,NotYet
60,10,6.2,8.5,0.0,NotYet
60,10,6.2,8.5,0.2,NotYet
60,10,6.2,8.5,0.4,NotYet
60,10,6.2,8.5,0.6,NotYet
60,10,6.2,8.5,0.8,NotYet
62,-10,6.0,8.1,-1.0,NotYet
62,-10,5.9,8.1,-0.8,NotYet
62,-10,5.9,8.1,-0.6,NotYet
62,-10,5.9,8.1,-0.4,NotYet
62,-10,5.9,8.1,-0.2,NotYet
62,-10,5.9,8.1,0.0,NotYet
62,-10,5.9,8.1,0.2,NotYet
62,-10,5.9,8.1,0.4,NotYet
62,-10,5.9,8.1,0.6,NotYet
62,-10,5.9,8.1,0.8,NotYet
62,-8,5.9,8.0,-1.0,NotYet
62,-8,5.9,8.0,-0.8,NotYet
62,-8,5.9,8.0,-0.6,NotYet
62,-8,5.8,8.1,-0.4,NotYet
62,-8,5.8,8.1,-0.2,NotYet
62,-8,5.8,8.1,0.0,NotYet
