cx,cy,cz,a,b,theta,Rt,Rp,A1,A2,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.8,-0.8,13.1,7.45,5.75,25,1.7,1.5,0,0,-5.155162823,-1.162703239,-0.14022464,-0.243618207,-1.750198181,-0.06523343,-0.313580552,-0.095465606,-0.145555337,-1.696236086,-1.380126669,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=0.0_A2=0.0_cx=1.8_cy=-0.8_cz=13.1.log
1.8,-0.7,13.2,7.45,5.75,25,1.7,1.5,0,0,-5.123777282,-1.418113614,-0.126389299,-0.248875486,-1.676055365,-0.055867215,-0.318815241,-0.089719497,-0.142652476,-1.610720906,-1.358626293,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=0.0_A2=0.0_cx=1.8_cy=-0.7_cz=13.2.log
1.8,-0.7,13.3,7.45,5.75,25,1.7,1.5,0,0,-5.076501934,-1.449266975,-0.118319521,-0.232026843,-1.594746384,-0.050509535,-0.306010271,-0.085315005,-0.136556216,-1.658898614,-1.320292335,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=0.0_A2=0.0_cx=1.8_cy=-0.7_cz=13.3.log
1.8,-0.7,13.1,7.45,5.75,25,1.7,1.5,0,0,-5.030001561,-1.289688673,-0.135001246,-0.266615194,-1.729522982,-0.06179091,-0.331974125,-0.094332323,-0.148966481,-1.515695184,-1.363711007,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=0.0_A2=0.0_cx=1.8_cy=-0.7_cz=13.1.log
1.6,-0.8,13.2,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.355256937,-1.163491391,-0.130745474,-0.25355169,-1.595836996,-0.063532877,-0.313925683,-0.096881896,-0.151886286,-1.920560244,-1.425386455,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.6_cy=-0.8_cz=13.2.log
1.7,-0.9,13.2,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.353028021,-1.20542412,-0.135298686,-0.222506261,-1.673832724,-0.064436492,-0.290474379,-0.094688121,-0.142100895,-1.879701812,-1.440550862,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.7_cy=-0.9_cz=13.2.log
1.7,-0.8,13.2,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.350522374,-1.307749665,-0.130371478,-0.243308217,-1.656665306,-0.061169675,-0.307684468,-0.093608804,-0.1455522,-1.843636303,-1.414250662,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.7_cy=-0.8_cz=13.2.log
1.6,-0.7,13.2,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.330632817,-1.239446457,-0.125909882,-0.277405856,-1.553513957,-0.060327556,-0.333086073,-0.095692137,-0.155595497,-1.892029246,-1.392471045,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.6_cy=-0.7_cz=13.2.log
1.7,-0.9,13.1,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.326916075,-0.971572478,-0.144792912,-0.238098629,-1.724186637,-0.071329062,-0.302512531,-0.099670551,-0.148457571,-1.889374252,-1.463167577,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.7_cy=-0.9_cz=13.1.log
1.6,-0.9,13.2,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.325753299,-1.061955253,-0.135722883,-0.231930206,-1.632691914,-0.066854915,-0.296129499,-0.098023337,-0.148185231,-1.91232794,-1.454574455,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.6_cy=-0.9_cz=13.2.log
