a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,E_m,machine_type,status,file_name
5.8,8.3,60.5,5,-11,82,-28.14612019,-0.439131498,-7.391892097,-9.413409287,-9.279159798,-1.622527507,3,Done,mono-C4-BTBT_theta=60.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=82_cx=0_cy=0_cz=0.log
5.8,8.1,62.5,5,-11,85,-28.14429413,-0.482486164,-7.197608726,-9.534587743,-9.279831233,-1.649780266,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.8_b=8.1_phi_r=85_cx=0_cy=0_cz=0.log
5.7,8.3,61.5,5,-11,85,-28.1422108,-0.420550927,-7.405295711,-9.441898241,-9.224685655,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.7_b=8.3_phi_r=85_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-11,82,-28.13392139,-0.461677932,-7.308784673,-9.419427108,-9.321504172,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.2_phi_r=82_cx=0_cy=0_cz=0.log
5.8,8.2,63.5,5,-11,86,-28.13391512,-0.427008005,-6.998123297,-9.572100291,-9.479875147,-1.656808378,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=5.8_b=8.2_phi_r=86_cx=0_cy=0_cz=0.log
5.7,8.3,61.5,5,-11,84,-28.13297385,-0.421931449,-7.393234968,-9.42929784,-9.246723806,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.7_b=8.3_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.4,61.5,5,-11,85,-28.13180041,-0.386979142,-7.341151639,-9.389074449,-9.364814913,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.4_phi_r=85_cx=0_cy=0_cz=0.log
5.8,8.4,60.5,5,-11,84,-28.12983003,-0.401826028,-7.414193803,-9.368849802,-9.303174606,-1.641785789,3,Done,mono-C4-BTBT_theta=60.5_A1=5_A2=-11_a=5.8_b=8.4_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.4,60.5,5,-11,83,-28.1297359,-0.403118699,-7.402829597,-9.375206478,-9.315887958,-1.632693169,3,Done,mono-C4-BTBT_theta=60.5_A1=5_A2=-11_a=5.8_b=8.4_phi_r=83_cx=0_cy=0_cz=0.log
6,8,62.5,5,-11,86,-28.12931547,-0.524692487,-6.885485252,-9.656544312,-9.405785041,-1.656808378,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=6.0_b=8.0_phi_r=86_cx=0_cy=0_cz=0.log
