theta,phi,r,z,E,status,machine_type,file_name,E1
30,45,4.4,0.0,-3.0772280912206043,Done,1,C6_theta=30_phi=45_r=4.4_z=0.0.log,0.0
30,50,4.4,0.0,-2.948079630587017,Done,1,C6_theta=30_phi=50_r=4.4_z=0.0.log,0.0
30,55,4.4,0.0,-2.868914851511363,Done,2,C6_theta=30_phi=55_r=4.4_z=0.0.log,0.0
30,60,4.4,0.0,-2.8066633494745474,Done,1,C6_theta=30_phi=60_r=4.4_z=0.0.log,0.0
30,65,4.3,0.0,-2.448248462780612,Done,2,C6_theta=30_phi=65_r=4.3_z=0.0.log,0.0
30,70,4.4,0.0,-2.4259273045463488,Done,2,C6_theta=30_phi=70_r=4.4_z=0.0.log,0.0
30,75,4.6,0.0,-2.401293772039935,Done,2,C6_theta=30_phi=75_r=4.6_z=0.0.log,0.0
30,80,4.7,0.0,-2.213430455711205,Done,1,C6_theta=30_phi=80_r=4.7_z=0.0.log,0.0
30,85,4.8,0.0,-2.0767223821603693,Done,1,C6_theta=30_phi=85_r=4.8_z=0.0.log,0.0
30,90,4.8,0.0,-2.0259009747533128,Done,2,C6_theta=30_phi=90_r=4.8_z=0.0.log,0.0
35,0,5.1,0.0,-1.6886444702395238,Done,1,C6_theta=35_phi=0_r=5.1_z=0.0.log,0.0
35,5,5.1,0.0,-1.7113678624155,Done,2,C6_theta=35_phi=5_r=5.1_z=0.0.log,0.0
35,10,5.0,0.0,-1.8737831380858552,Done,2,C6_theta=35_phi=10_r=5.0_z=0.0.log,0.0
35,15,4.9,0.0,-2.0965548357344232,Done,2,C6_theta=35_phi=15_r=4.9_z=0.0.log,0.0
35,20,4.7,0.0,-2.489316482271533,Done,1,C6_theta=35_phi=20_r=4.7_z=0.0.log,0.0
35,25,4.5,0.0,-2.9190773734299,Done,1,C6_theta=35_phi=25_r=4.5_z=0.0.log,0.0
35,30,4.3,0.0,-3.257269495370565,Done,2,C6_theta=35_phi=30_r=4.3_z=0.0.log,0.0
35,35,4.1,0.0,-3.121404167730361,Done,1,C6_theta=35_phi=35_r=4.1_z=0.0.log,0.0
35,40,4.2,0.0,-3.41584817491821,Done,2,C6_theta=35_phi=40_r=4.2_z=0.0.log,0.0
35,45,4.3,0.0,-3.3652206681726966,Done,2,C6_theta=35_phi=45_r=4.3_z=0.0.log,0.0
35,50,4.3,0.0,-3.2666470047843177,Done,2,C6_theta=35_phi=50_r=4.3_z=0.0.log,0.0
35,55,4.3,0.0,-3.174593797826674,Done,1,C6_theta=35_phi=55_r=4.3_z=0.0.log,0.0
35,60,4.3,0.0,-3.0425820090749767,Done,1,C6_theta=35_phi=60_r=4.3_z=0.0.log,0.0
35,65,4.3,0.0,-2.781818973569898,Done,1,C6_theta=35_phi=65_r=4.3_z=0.0.log,0.0
35,70,4.4,0.0,-2.57836140631116,Done,2,C6_theta=35_phi=70_r=4.4_z=0.0.log,0.0
35,75,4.6,0.0,-2.422859408194199,Done,2,C6_theta=35_phi=75_r=4.6_z=0.0.log,0.0
35,80,4.7,0.0,-2.1943403465265874,Done,2,C6_theta=35_phi=80_r=4.7_z=0.0.log,0.0
35,85,4.8,0.0,-2.0464086290448904,Done,1,C6_theta=35_phi=85_r=4.8_z=0.0.log,0.0
35,90,4.8,0.0,-1.9903820262406955,Done,1,C6_theta=35_phi=90_r=4.8_z=0.0.log,0.0
40,0,5.1,0.0,-1.6573681167792529,Done,2,C6_theta=40_phi=0_r=5.1_z=0.0.log,0.0
40,5,5.1,0.0,-1.687386312696617,Done,1,C6_theta=40_phi=5_r=5.1_z=0.0.log,0.0
40,10,5.0,0.0,-1.8373329647583887,Done,2,C6_theta=40_phi=10_r=5.0_z=0.0.log,0.0
40,15,4.9,0.0,-2.056525972817326,Done,2,C6_theta=40_phi=15_r=4.9_z=0.0.log,0.0
40,20,4.8,0.0,-2.33110364098684,Done,2,C6_theta=40_phi=20_r=4.8_z=0.0.log,0.0
40,25,4.6,0.0,-2.7414380775881,Done,1,C6_theta=40_phi=25_r=4.6_z=0.0.log,0.0
40,30,4.3,0.0,-3.0383852222003043,Done,2,C6_theta=40_phi=30_r=4.3_z=0.0.log,0.0
40,35,4.2,0.0,-3.2345755962014664,Done,1,C6_theta=40_phi=35_r=4.2_z=0.0.log,0.0
40,40,4.2,0.0,-3.4159473215404432,Done,1,C6_theta=40_phi=40_r=4.2_z=0.0.log,0.0
40,45,4.2,0.0,-3.4632465153117664,Done,2,C6_theta=40_phi=45_r=4.2_z=0.0.log,0.0
