theta,x1,y1,z1,x2,y2,z2,E,E1,E2,E3,E4,status
,3.5,1.1,1.4,1.3,6.9,0.1,-10.221847990353126,-5.356339391146321,-1.4726398404454812,-0.2020048816339112,-3.1908638771274127,Done
,3.5,1.1,1.4,1.4,6.7,0.1,-10.654872561164666,-5.356339391146321,-1.6127772562904283,-0.2170368836959824,-3.4687190300319344,Done
,3.5,1.1,1.4,1.4,6.7,0.2,-10.662156069593038,-5.356339391146321,-1.62366706476314,-0.2152491076849401,-3.466900505998637,Done
,3.5,1.1,1.4,1.4,6.7,0.3,-10.642602230596822,-5.356339391146321,-1.6409957534633577,-0.2133646951988339,-3.4319023907883093,Done
,3.5,1.1,1.4,1.4,6.8,0.1,-10.520879723189864,-5.356339391146321,-1.59350328653818,-0.2056124366354197,-3.365424608869944,Done
,3.5,1.1,1.4,1.5,6.7,0.1,-10.612419627083,-5.356339391146321,-1.7256330471718684,-0.2085830690339207,-3.32186411973089,Done
,3.5,1.1,1.4,1.5,6.7,0.2,-10.5923330320511,-5.356339391146321,-1.7332290558260866,-0.2068856544210575,-3.2958789306576364,Done
,3.5,1.1,1.4,1.5,6.7,0.3,-10.529545636323746,-5.356339391146321,-1.7452101041562855,-0.205093485827092,-3.222902655194048,Done
,3.5,1.1,1.4,1.5,6.8,0.1,-10.51046242978191,-5.356339391146321,-1.666180239757523,-0.1978419803199358,-3.2901008185581304,Done
,3.5,1.1,1.4,1.3,6.6,0.1,-10.583701631810982,-5.356339391146321,-1.3680006654467434,-0.2385749093955382,-3.6207866658223793,Done
,3.5,1.1,1.4,1.3,6.6,0.2,-10.607975601276848,-5.356339391146321,-1.3900532494299114,-0.2365624848171137,-3.625020475883504,Done
,3.5,1.1,1.4,1.3,6.6,0.3,-10.617208155803382,-5.356339391146321,-1.4254360282211564,-0.2344446385977789,-3.600988097838126,Done
,3.5,1.1,1.4,1.4,6.6,0.1,-10.682043116481507,-5.356339391146321,-1.5788044923101552,-0.2290373849100433,-3.5178618481149897,Done
,3.5,1.1,1.4,1.4,6.6,0.2,-10.679330390819814,-5.356339391146321,-1.5952803948894143,-0.2271429322427138,-3.500567672541365,Done
,3.5,1.1,1.4,1.4,6.6,0.3,-10.64396580978064,-5.356339391146321,-1.6216433450463228,-0.2251449403702281,-3.440838133217767,Done
,3.5,1.1,1.4,1.5,6.6,0.1,-10.592601606214885,-5.356339391146321,-1.745249009807594,-0.2198142429697327,-3.271198962291237,Done
,3.5,1.1,1.4,1.5,6.6,0.2,-10.553552286350168,-5.356339391146321,-1.7571974276797846,-0.218018936808221,-3.221996530715842,Done
,3.5,1.1,1.4,1.5,6.6,0.3,-10.4628664238262,-5.356339391146321,-1.7761927829124031,-0.2161238567205146,-3.11421039304696,Done
,3.5,1.1,1.4,1.3,6.5,0.0,-10.418038991861977,-5.356339391146321,-1.149475328042172,-0.2540649937582202,-3.658159278915264,Done
,3.5,1.1,1.4,1.3,6.5,0.1,-10.453982137143612,-5.356339391146321,-1.1607428975403309,-0.2520393915474415,-3.684860456909519,Done
,3.5,1.1,1.4,1.3,6.5,0.2,-10.476015268359332,-5.356339391146321,-1.193912448710762,-0.2498983273981139,-3.675865101104137,Done
,3.5,1.1,1.4,1.3,6.6,0.0,-10.546413732634392,-5.356339391146321,-1.3605038035311736,-0.240479402244091,-3.589091135712806,Done
,3.5,1.1,1.4,1.3,6.7,0.0,-10.518899929360488,-5.356339391146321,-1.462001663458068,-0.2275501863332465,-3.473008688422852,Done
,3.5,1.1,1.4,1.4,6.5,0.0,-10.532562076929024,-5.356339391146321,-1.4576367038534954,-0.2435165506904013,-3.475069431238808,Done
,3.5,1.1,1.4,1.4,6.5,0.1,-10.553953892784191,-5.356339391146321,-1.4660365527379329,-0.2416145678726025,-3.489963381027337,Done
,3.5,1.1,1.4,1.4,6.5,0.2,-10.53887796512572,-5.356339391146321,-1.490744131442625,-0.2396040258463472,-3.452190416690428,Done
,3.5,1.1,1.4,1.4,6.6,0.0,-10.653503334266134,-5.356339391146321,-1.5731920428806916,-0.2308239059639163,-3.493147994275205,Done
,3.5,1.1,1.4,1.4,6.7,0.0,-10.622208782995584,-5.356339391146321,-1.6090642795315944,-0.2187230030540377,-3.4380821092636324,Done
,3.5,1.1,1.4,1.5,6.5,0.0,-10.405998330039438,-5.356339391146321,-1.701932622003369,-0.2333521437249146,-3.1143741731648333,Done
,3.5,1.1,1.4,1.5,6.5,0.1,-10.40327368164435,-5.356339391146321,-1.7080671597504988,-0.2315675052814185,-3.107299625466112,Done
,3.5,1.1,1.4,1.5,6.5,0.2,-10.340801296115387,-5.356339391146321,-1.7260792067972943,-0.2296761901234276,-3.0287065080483444,Done
,3.5,1.1,1.4,1.5,6.6,0.0,-10.580564081843477,-5.356339391146321,-1.74117082223529,-0.2215078924200497,-3.261545976041816,Done
,3.5,1.1,1.4,1.5,6.7,0.0,-10.590562198776752,-5.356339391146321,-1.72304017591523,-0.21018133696634322,-3.3010012947488576,Done
