theta,x1,y1,z1,x2,y2,z2,E3,E4,machine_type,status,file_name
,3.5,1.1,1.4,1.4,7.0,0.4,-0.1796027746167965,-3.0876347169978544,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=7.0_z2=0.4_3.log
,3.5,1.1,1.4,1.5,6.8,0.2,-0.1962405747617595,-3.281750542926602,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.8_z2=0.2_3.log
,3.5,1.1,1.4,1.5,6.8,0.3,-0.1945488078636117,-3.236654536856804,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.8_z2=0.3_3.log
,3.5,1.1,1.4,1.5,6.8,0.4,-0.192771071975585,-3.157386218663305,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.8_z2=0.4_3.log
,3.5,1.1,1.4,1.5,6.9,0.4,-0.1827999380766414,-3.1315924200462177,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.9_z2=0.4_3.log
,3.5,1.1,1.4,1.5,7.0,0.4,-0.1732818664750084,-3.0499634091975167,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=7.0_z2=0.4_3.log
,3.5,1.1,1.4,1.3,6.7,0.1,-0.2257661753101274,-3.507005925173871,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.7_z2=0.1_3.log
,3.5,1.1,1.4,1.3,6.7,0.2,-0.2238773702410981,-3.52060971444007,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.7_z2=0.2_3.log
,3.5,1.1,1.4,1.3,6.7,0.3,-0.2218837709515355,-3.513033786206506,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.7_z2=0.3_3.log
,3.5,1.1,1.4,1.3,6.8,0.1,-0.2135811860789545,-3.359696070139762,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.8_z2=0.1_3.log
,3.5,1.1,1.4,1.3,6.9,0.1,-0.2020048816339112,-3.1908638771274127,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.9_z2=0.1_3.log
,3.5,1.1,1.4,1.4,6.7,0.1,-0.2170368836959824,-3.4687190300319344,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.7_z2=0.1_3.log
,3.5,1.1,1.4,1.4,6.7,0.2,-0.2152491076849401,-3.466900505998637,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.7_z2=0.2_3.log
,3.5,1.1,1.4,1.4,6.7,0.3,-0.2133646951988339,-3.4319023907883093,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.7_z2=0.3_3.log
,3.5,1.1,1.4,1.4,6.8,0.1,-0.2056124366354197,-3.365424608869944,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.8_z2=0.1_3.log
,3.5,1.1,1.4,1.5,6.7,0.1,-0.2085830690339207,-3.32186411973089,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.7_z2=0.1_3.log
,3.5,1.1,1.4,1.5,6.7,0.2,-0.2068856544210575,-3.2958789306576364,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.7_z2=0.2_3.log
,3.5,1.1,1.4,1.5,6.7,0.3,-0.205093485827092,-3.222902655194048,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.7_z2=0.3_3.log
,3.5,1.1,1.4,1.5,6.8,0.1,-0.1978419803199358,-3.2901008185581304,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.8_z2=0.1_3.log
,3.5,1.1,1.4,1.3,6.6,0.1,-0.2385749093955382,-3.6207866658223793,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.6_z2=0.1_3.log
,3.5,1.1,1.4,1.3,6.6,0.2,-0.2365624848171137,-3.625020475883504,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.6_z2=0.2_3.log
,3.5,1.1,1.4,1.3,6.6,0.3,-0.2344446385977789,-3.600988097838126,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.6_z2=0.3_3.log
,3.5,1.1,1.4,1.4,6.6,0.1,-0.2290373849100433,-3.5178618481149897,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.6_z2=0.1_3.log
,3.5,1.1,1.4,1.4,6.6,0.2,-0.2271429322427138,-3.500567672541365,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.6_z2=0.2_3.log
,3.5,1.1,1.4,1.4,6.6,0.3,-0.2251449403702281,-3.440838133217767,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.6_z2=0.3_3.log
,3.5,1.1,1.4,1.5,6.6,0.1,-0.2198142429697327,-3.271198962291237,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.6_z2=0.1_3.log
,3.5,1.1,1.4,1.5,6.6,0.2,-0.218018936808221,-3.221996530715842,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.6_z2=0.2_3.log
,3.5,1.1,1.4,1.5,6.6,0.3,-0.2161238567205146,-3.11421039304696,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.6_z2=0.3_3.log
,3.5,1.1,1.4,1.3,6.5,0.0,-0.2540649937582202,-3.658159278915264,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.5_z2=0.0_3.log
,3.5,1.1,1.4,1.3,6.5,0.1,-0.2520393915474415,-3.684860456909519,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.5_z2=0.1_3.log
,3.5,1.1,1.4,1.3,6.5,0.2,-0.2498983273981139,-3.675865101104137,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.5_z2=0.2_3.log
,3.5,1.1,1.4,1.3,6.6,0.0,-0.240479402244091,-3.589091135712806,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.6_z2=0.0_3.log
,3.5,1.1,1.4,1.3,6.7,0.0,-0.2275501863332465,-3.473008688422852,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.7_z2=0.0_3.log
,3.5,1.1,1.4,1.4,6.5,0.0,-0.2435165506904013,-3.475069431238808,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.5_z2=0.0_3.log
,3.5,1.1,1.4,1.4,6.5,0.1,-0.2416145678726025,-3.489963381027337,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.5_z2=0.1_3.log
,3.5,1.1,1.4,1.4,6.5,0.2,-0.2396040258463472,-3.452190416690428,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.5_z2=0.2_3.log
,3.5,1.1,1.4,1.4,6.6,0.0,-0.2308239059639163,-3.493147994275205,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.6_z2=0.0_3.log
,3.5,1.1,1.4,1.4,6.7,0.0,-0.2187230030540377,-3.4380821092636324,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.7_z2=0.0_3.log
,3.5,1.1,1.4,1.5,6.5,0.0,-0.2333521437249146,-3.1143741731648333,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.5_z2=0.0_3.log
,3.5,1.1,1.4,1.5,6.5,0.1,-0.2315675052814185,-3.107299625466112,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.5_z2=0.1_3.log
,3.5,1.1,1.4,1.5,6.5,0.2,-0.2296761901234276,-3.0287065080483444,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.5_z2=0.2_3.log
,3.5,1.1,1.4,1.5,6.6,0.0,-0.2215078924200497,-3.261545976041816,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.6_z2=0.0_3.log
,3.5,1.1,1.4,1.5,6.7,0.0,-0.21018133696634322,-3.3010012947488576,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.7_z2=0.0_3.log
