z,A2,phi,a,b,theta,status
1.8,-16,40,8.0,6.0,30,NotYet
1.8,-16,50,8.0,6.0,30,NotYet
1.8,-16,60,8.0,6.0,30,NotYet
1.8,-14,0,8.0,6.0,30,NotYet
1.8,-14,10,8.0,6.0,30,NotYet
1.8,-14,20,8.0,6.0,30,NotYet
1.8,-14,30,8.0,6.0,30,NotYet
1.8,-14,40,8.0,6.0,30,NotYet
1.8,-14,50,8.0,6.0,30,NotYet
1.8,-14,60,8.0,6.0,30,NotYet
1.8,-12,0,8.0,6.0,30,NotYet
1.8,-12,10,8.0,6.0,30,NotYet
1.8,-12,20,8.0,6.0,30,NotYet
1.8,-12,30,8.0,6.0,30,NotYet
1.8,-12,40,8.0,6.0,30,NotYet
1.8,-12,50,8.0,6.0,30,NotYet
1.8,-12,60,8.0,6.0,30,NotYet
2.0,-20,0,8.0,6.0,30,NotYet
2.0,-20,10,8.0,6.0,30,NotYet
2.0,-20,20,8.0,6.0,30,NotYet
2.0,-20,30,8.0,6.0,30,NotYet
2.0,-20,40,8.0,6.0,30,NotYet
2.0,-20,50,8.0,6.0,30,NotYet
2.0,-20,60,8.0,6.0,30,NotYet
2.0,-18,0,8.0,6.0,30,NotYet
2.0,-18,10,8.0,6.0,30,NotYet
2.0,-18,20,8.0,6.0,30,NotYet
2.0,-18,30,8.0,6.0,30,NotYet
2.0,-18,40,8.0,6.0,30,NotYet
2.0,-18,50,8.0,6.0,30,NotYet
2.0,-18,60,8.0,6.0,30,NotYet
2.0,-16,0,8.0,6.0,30,NotYet
2.0,-16,10,8.0,6.0,30,NotYet
2.0,-16,20,8.0,6.0,30,NotYet
2.0,-16,30,8.0,6.0,30,NotYet
2.0,-16,40,8.0,6.0,30,NotYet
2.0,-16,50,8.0,6.0,30,NotYet
2.0,-16,60,8.0,6.0,30,NotYet
2.0,-14,0,8.0,6.0,30,NotYet
2.0,-14,10,8.0,6.0,30,NotYet
2.0,-14,20,8.0,6.0,30,NotYet
2.0,-14,30,8.0,6.0,30,NotYet
2.0,-14,40,8.0,6.0,30,NotYet
2.0,-14,50,8.0,6.0,30,NotYet
2.0,-14,60,8.0,6.0,30,NotYet
2.0,-12,0,8.0,6.0,30,NotYet
2.0,-12,10,8.0,6.0,30,NotYet
2.0,-12,20,8.0,6.0,30,NotYet
2.0,-12,30,8.0,6.0,30,NotYet
2.0,-12,40,8.0,6.0,30,NotYet
2.0,-12,50,8.0,6.0,30,NotYet
2.0,-12,60,8.0,6.0,30,NotYet
2.2,-20,0,8.0,6.0,30,NotYet
2.2,-20,10,8.0,6.0,30,NotYet
2.2,-20,20,8.0,6.0,30,NotYet
2.2,-20,30,8.0,6.0,30,NotYet
2.2,-20,40,8.0,6.0,30,NotYet
2.2,-20,50,8.0,6.0,30,NotYet
2.2,-20,60,8.0,6.0,30,NotYet
2.2,-18,0,8.0,6.0,30,NotYet
2.2,-18,10,8.0,6.0,30,NotYet
2.2,-18,20,8.0,6.0,30,NotYet
2.2,-18,30,8.0,6.0,30,NotYet
2.2,-18,40,8.0,6.0,30,NotYet
2.2,-18,50,8.0,6.0,30,NotYet
2.2,-18,60,8.0,6.0,30,NotYet
2.2,-16,0,8.0,6.0,30,NotYet
2.2,-16,10,8.0,6.0,30,NotYet
2.2,-16,20,8.0,6.0,30,NotYet
