a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,E_m,machine_type,status,file_name
6,8.1,61.5,5,-5,85,-27.7030542,-0.540769293,-6.890342179,-9.766785268,-8.855377194,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.1_phi_r=85_cx=0_cy=0_cz=0.log
6,8.1,61.5,5,-5,84,-27.70267142,-0.543178931,-6.880910704,-9.744521214,-8.892274782,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.1_phi_r=84_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-5,83,-27.69451379,-0.545312465,-7.112035187,-9.656004653,-8.748468315,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=83_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-5,83,-27.69295129,-0.4988328,-7.25963809,-9.580132419,-8.721654813,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.2_phi_r=83_cx=0_cy=0_cz=0.log
6,8.2,61.5,5,-5,85,-27.67988653,-0.494716334,-6.890342179,-9.677785525,-8.967262227,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.2_phi_r=85_cx=0_cy=0_cz=0.log
6,8.1,61.5,5,-5,83,-27.6797924,-0.545312465,-6.872119289,-9.705019459,-8.924648023,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.1_phi_r=83_cx=0_cy=0_cz=0.log
6,8.2,61.5,5,-5,84,-27.6794912,-0.496893793,-6.880910704,-9.665862835,-8.994038079,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.2_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-5,82,-27.66745556,-0.458232903,-7.249679506,-9.470964504,-8.866051139,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.3_phi_r=82_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-5,82,-27.65983759,-0.458232903,-7.102917467,-9.497326199,-8.978833512,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.3_phi_r=82_cx=0_cy=0_cz=0.log
6,8.2,61.5,5,-5,83,-27.65937323,-0.4988328,-6.872119289,-9.639055608,-9.016672365,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.2_phi_r=83_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-5,82,-27.63585416,-0.547157345,-7.102917467,-9.577609829,-8.785642008,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=82_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-5,82,-27.63266013,-0.500508251,-7.249679506,-9.502421581,-8.757523285,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.2_phi_r=82_cx=0_cy=0_cz=0.log
6,8.1,61.5,5,-5,82,-27.63001204,-0.547157345,-6.863911458,-9.644558871,-8.951856857,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.1_phi_r=82_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-5,81,-27.62226856,-0.501938974,-7.094515108,-9.478306371,-8.936093806,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.2_phi_r=81.0_cx=0_cy=0_cz=0.log
6,8.2,61.5,5,-5,82,-27.61574246,-0.500508251,-6.863911458,-9.594100791,-9.034694452,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.2_phi_r=82_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-5,81,-27.58892268,-0.459538123,-7.094515108,-9.43118037,-8.992274776,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.3_phi_r=81.0_cx=0_cy=0_cz=0.log
5.8,8.1,61.5,5,-5,85,-27.58769904,-0.540769293,-7.281136582,-9.695180102,-8.420832794,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=85_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-5,81,-27.58631852,-0.459538123,-7.240448834,-9.387461749,-8.887455506,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.3_phi_r=81.0_cx=0_cy=0_cz=0.log
5.8,8.1,61.5,5,-5,84,-27.57812951,-0.543178931,-7.270161432,-9.645838991,-8.477164367,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=84_cx=0_cy=0_cz=0.log
6,8.3,61.5,5,-5,85,-27.55803664,-0.452961819,-6.890342179,-9.548242361,-9.016710015,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.3_phi_r=85_cx=0_cy=0_cz=0.log
6,8.3,61.5,5,-5,84,-27.55779191,-0.454938475,-6.880910704,-9.545230313,-9.034926631,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.3_phi_r=84_cx=0_cy=0_cz=0.log
6,8.1,61.5,5,-5,81,-27.54879969,-0.548744945,-6.856230736,-9.558947681,-8.973462026,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.1_phi_r=81.0_cx=0_cy=0_cz=0.log
6,8.2,61.5,5,-5,81,-27.54468323,-0.501938974,-6.856230736,-9.527289802,-9.047809411,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.2_phi_r=81.0_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-5,81,-27.54279442,-0.548744945,-7.094515108,-9.470977054,-8.81714301,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=81.0_cx=0_cy=0_cz=0.log
5.8,8.1,61.5,5,-5,83,-27.54142645,-0.545312465,-7.25963809,-9.574139699,-8.529643029,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=83_cx=0_cy=0_cz=0.log
6,8.3,61.5,5,-5,83,-27.54024673,-0.456695503,-6.872119289,-9.52937941,-9.04935936,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.3_phi_r=83_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-5,81,-27.5395753,-0.501938974,-7.240448834,-9.397351306,-8.788421877,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.2_phi_r=81.0_cx=0_cy=0_cz=0.log
6,8,61.5,5,-5,82,-27.52739533,-0.598763767,-6.863911458,-9.640348279,-8.801844316,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.0_phi_r=82_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-5,80,-27.50629216,-0.503124968,-7.086752809,-9.364469782,-8.952396515,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.2_phi_r=80.0_cx=0_cy=0_cz=0.log
6,8.3,61.5,5,-5,82,-27.50223845,-0.458232903,-6.863911458,-9.497840757,-9.059725826,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.3_phi_r=82_cx=0_cy=0_cz=0.log
6.1,8.1,61.5,5,-5,82,-27.49160843,-0.547157345,-6.563258867,-9.679460977,-9.079203736,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.1_b=8.1_phi_r=82_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-5,80,-27.4878622,-0.46062999,-7.086752809,-9.339940416,-9.00099089,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.3_phi_r=80.0_cx=0_cy=0_cz=0.log
6.1,8,61.5,5,-5,82,-27.47434563,-0.598763767,-6.563258867,-9.712926085,-8.976869405,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.1_b=8.0_phi_r=82_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-5,80,-27.47254468,-0.46062999,-7.232046475,-9.276191675,-8.904128446,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.3_phi_r=80.0_cx=0_cy=0_cz=0.log
5.8,8.1,61.5,5,-5,82,-27.4725133,-0.547157345,-7.249679506,-9.47574613,-8.577402814,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=82_cx=0_cy=0_cz=0.log
6,8.2,61.5,5,-5,80,-27.44190964,-0.503124968,-6.849033196,-9.434531274,-9.055672111,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.2_phi_r=80.0_cx=0_cy=0_cz=0.log
6,8.3,61.5,5,-5,81,-27.44032831,-0.459538123,-6.856230736,-9.447370128,-9.065775022,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.3_phi_r=81.0_cx=0_cy=0_cz=0.log
5.9,8,61.5,5,-5,82,-27.43700879,-0.598763767,-7.102917467,-9.530540304,-8.582259742,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.0_phi_r=82_cx=0_cy=0_cz=0.log
6,8,61.5,5,-5,81,-27.4349129,-0.600501969,-6.856230736,-9.533175846,-8.833590047,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8_phi_r=81_cx=0_cy=0_cz=0.log
6,8.1,61.5,5,-5,80,-27.43124197,-0.550056441,-6.849033196,-9.443510942,-8.9890933,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.1_phi_r=80_cx=0_cy=0_cz=0.log
6.1,8.1,61.5,5,-5,81,-27.42086923,-0.548744945,-6.556268406,-9.612719013,-9.091722561,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.1_b=8.1_phi_r=81_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-5,80,-27.41013253,-0.550056441,-7.086752809,-9.331236852,-8.84253834,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=80_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-5,80,-27.40902812,-0.503124968,-7.232046475,-9.260390974,-8.813917609,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.2_phi_r=80.0_cx=0_cy=0_cz=0.log
6.1,8.2,61.5,5,-5,82,-27.40473595,-0.500508251,-6.563258867,-9.597326193,-9.121115129,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.1_b=8.2_phi_r=82_cx=0_cy=0_cz=0.log
6.1,8,61.5,5,-5,81,-27.39382982,-0.600501969,-6.556268406,-9.627559625,-8.998085518,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.1_b=8.0_phi_r=81_cx=0_cy=0_cz=0.log
5.8,8.1,61.5,5,-5,81,-27.36611271,-0.548744945,-7.240448834,-9.345908036,-8.619596587,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=81.0_cx=0_cy=0_cz=0.log
6,8.3,61.5,5,-5,80,-27.35077009,-0.46062999,-6.849033196,-9.37435934,-9.06719947,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.3_phi_r=80.0_cx=0_cy=0_cz=0.log
6.1,8.2,61.5,5,-5,81,-27.34283209,-0.501938974,-6.556268406,-9.546830463,-9.126379938,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.1_b=8.2_phi_r=81_cx=0_cy=0_cz=0.log
5.9,8,61.5,5,-5,81,-27.33102235,-0.600501969,-7.094515108,-9.39913971,-8.625451255,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8_phi_r=81_cx=0_cy=0_cz=0.log
6.1,8.1,61.5,5,-5,80,-27.3172234,-0.550056441,-6.549798778,-9.51933925,-9.098480843,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.1_b=8.1_phi_r=80_cx=0_cy=0_cz=0.log
6,8,61.5,5,-5,80,-27.30087677,-0.601932692,-6.849033196,-9.391835493,-8.858527295,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8_phi_r=80_cx=0_cy=0_cz=0.log
6.1,8,61.5,5,-5,80,-27.27568852,-0.601932692,-6.549798778,-9.511627153,-9.012781803,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.1_b=8.0_phi_r=80_cx=0_cy=0_cz=0.log
6,8.1,61.5,5,-5,79,-27.27230624,-0.551104382,-6.842350215,-9.293316423,-8.998418099,-1.587117117,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.1_phi_r=79_cx=0_cy=0_cz=0.log
6.1,8.2,61.5,5,-5,80,-27.25220082,-0.503124968,-6.549798778,-9.473154514,-9.126574466,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.1_b=8.2_phi_r=80_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-5,79,-27.23239033,-0.551104382,-7.079561545,-9.153237366,-8.861369915,-1.587117117,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=79_cx=0_cy=0_cz=0.log
5.8,8.1,61.5,5,-5,80,-27.2167967,-0.550056441,-7.232046475,-9.17953631,-8.655609386,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=80_cx=0_cy=0_cz=0.log
6,7.9,61.5,5,-5,81,-27.18280449,-0.657749707,-6.856230736,-9.439551354,-8.617858384,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=7.9_phi_r=81_cx=0_cy=0_cz=0.log
5.9,8,61.5,5,-5,80,-27.17971714,-0.601932692,-7.086752809,-9.229824962,-8.661658582,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8_phi_r=80_cx=0_cy=0_cz=0.log
6,8,61.5,5,-5,79,-27.1195954,-0.603093586,-6.842350215,-9.210742382,-8.876292103,-1.587117117,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8_phi_r=79_cx=0_cy=0_cz=0.log
5.8,8,61.5,5,-5,81,-27.04453266,-0.600501969,-7.240448834,-9.222125414,-8.370042135,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8_phi_r=81_cx=0_cy=0_cz=0.log
6,7.9,61.5,5,-5,80,-27.03056428,-0.659349858,-6.849033196,-9.268755682,-8.653877458,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=7.9_phi_r=80_cx=0_cy=0_cz=0.log
5.8,8.1,61.5,5,-5,79,-27.01892397,-0.551104382,-7.224428504,-8.971359868,-8.684914103,-1.587117117,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=79_cx=0_cy=0_cz=0.log
5.9,8,61.5,5,-5,79,-26.97698748,-0.603093586,-7.079561545,-9.016804142,-8.690411091,-1.587117117,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8_phi_r=79_cx=0_cy=0_cz=0.log
5.9,7.9,61.5,5,-5,81,-26.96478869,-0.657749707,-7.094515108,-9.25137993,-8.349729636,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=7.9_phi_r=81_cx=0_cy=0_cz=0.log
5.8,8,61.5,5,-5,80,-26.87422644,-0.601932692,-7.232046475,-9.022175628,-8.418523558,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8_phi_r=80_cx=0_cy=0_cz=0.log
6,7.9,61.5,5,-5,79,-26.82438332,-0.660629978,-6.842350215,-9.052565937,-8.681720077,-1.587117117,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=7.9_phi_r=79_cx=0_cy=0_cz=0.log
5.9,7.9,61.5,5,-5,80,-26.79285095,-0.659349858,-7.086752809,-9.048449471,-8.398750718,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=7.9_phi_r=80_cx=0_cy=0_cz=0.log
5.8,8,61.5,5,-5,79,-26.648486,-0.603093586,-7.224428504,-8.774503705,-8.459343083,-1.587117117,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8_phi_r=79_cx=0_cy=0_cz=0.log
5.9,7.9,61.5,5,-5,79,-26.5622222,-0.660629978,-7.079561545,-8.795657068,-8.439256488,-1.587117117,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=7.9_phi_r=79_cx=0_cy=0_cz=0.log
5.8,7.9,61.5,5,-5,81,-26.55060071,-0.657749707,-7.240448834,-9.013497164,-8.027490701,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=7.9_phi_r=81_cx=0_cy=0_cz=0.log
5.8,7.9,61.5,5,-5,80,-26.35699505,-0.659349858,-7.232046475,-8.775401045,-8.090649583,-1.59954809,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=7.9_phi_r=80_cx=0_cy=0_cz=0.log
5.8,7.9,61.5,5,-5,79,-26.10012383,-0.660629978,-7.224428504,-8.482893533,-8.1450547,-1.587117117,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=7.9_phi_r=79_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-7,85,-28.04506597,-0.475809457,-7.141597183,-9.653093006,-9.124786063,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.2_phi_r=85_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-7,84,-28.04271281,-0.477761014,-7.131042465,-9.637486833,-9.154636713,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.2_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-7,85,-28.03793746,-0.436201026,-7.303626541,-9.566804106,-9.081525523,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.3_phi_r=85_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-7,85,-28.03740408,-0.475809457,-7.303626541,-9.635265448,-8.972922367,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.2_phi_r=85_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-7,84,-28.03267265,-0.43797688,-7.292563539,-9.551699941,-9.108646506,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.3_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-7,84,-28.03091563,-0.477761014,-7.292563539,-9.608665299,-9.010139985,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.2_phi_r=84_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-7,83,-28.02154063,-0.479499216,-7.121065056,-9.606801594,-9.181481591,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.2_phi_r=83_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-7,83,-28.00931046,-0.439570755,-7.28193352,-9.521924591,-9.133188422,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.3_phi_r=83_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-7,85,-28.0075346,-0.519641031,-7.141597183,-9.703300082,-8.993216041,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.1_phi_r=85_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-7,84,-28.00475473,-0.52179339,-7.131042465,-9.676241851,-9.033891239,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.1_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-7,83,-28.00361894,-0.479499216,-7.28193352,-9.564883926,-9.04460911,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.2_phi_r=83_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-7,83,-27.98036342,-0.523707296,-7.121065056,-9.631556864,-9.071341036,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.1_phi_r=83_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-7,82,-27.97811066,-0.481024066,-7.111796734,-9.557818163,-9.20494419,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.2_phi_r=82_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-7,85,-27.97145278,-0.436201026,-7.141597183,-9.555960734,-9.187913568,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.3_phi_r=85_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-7,84,-27.96960162,-0.43797688,-7.131042465,-9.550175092,-9.208621398,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.3_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-7,82,-27.96461919,-0.440970102,-7.271836884,-9.474472285,-9.154812416,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.3_phi_r=82_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-7,82,-27.95169876,-0.481024066,-7.271836884,-9.500451199,-9.075859108,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.2_phi_r=82_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-7,83,-27.95143521,-0.439570755,-7.121065056,-9.531531769,-9.22657446,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.3_phi_r=83_cx=0_cy=0_cz=0.log
6,8.1,61.5,5,-7,84,-27.94397412,-0.52179339,-6.880207893,-9.710516447,-9.189670597,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=6.0_b=8.1_phi_r=84_cx=0_cy=0_cz=0.log
6,8.1,61.5,5,-7,85,-27.94253084,-0.519641031,-6.88975232,-9.726172821,-9.157184404,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=6.0_b=8.1_phi_r=85_cx=0_cy=0_cz=0.log
