theta,A2,phi,a,b,z,status
64.0,-14.0,30.0,6.2,8.9,-3.0,NotYet
64.0,-12.0,30.0,6.1,8.6,-3.0,NotYet
64.0,-10.0,30.0,6.1,8.3,-3.0,NotYet
64.0,-8.0,30.0,6.1,8.3,-3.0,NotYet
64.0,-6.0,30.0,6.2,8.6,-3.0,NotYet
64.0,-14.0,30.0,6.2,9.2,-2.8,NotYet
64.0,-12.0,30.0,6.1,8.8,-2.8,NotYet
64.0,-10.0,30.0,6.1,8.5,-2.8,NotYet
64.0,-8.0,30.0,6.2,8.3,-2.8,NotYet
64.0,-6.0,30.0,6.2,8.7,-2.8,NotYet
66.0,-14.0,30.0,6.2,8.8,-3.4,NotYet
66.0,-12.0,30.0,6.2,8.5,-3.4,NotYet
66.0,-10.0,30.0,6.1,8.4,-3.4,NotYet
66.0,-8.0,30.0,6.1,8.2,-3.4,NotYet
66.0,-6.0,30.0,6.2,8.3,-3.4,NotYet
66.0,-14.0,30.0,6.3,8.7,-3.2,NotYet
66.0,-12.0,30.0,6.2,8.5,-3.2,NotYet
66.0,-10.0,30.0,6.1,8.3,-3.2,NotYet
66.0,-8.0,30.0,6.2,8.1,-3.2,NotYet
66.0,-6.0,30.0,6.2,8.3,-3.2,NotYet
66.0,-14.0,30.0,6.3,8.8,-3.0,NotYet
66.0,-12.0,30.0,6.2,8.5,-3.0,NotYet
66.0,-10.0,30.0,6.2,8.3,-3.0,NotYet
66.0,-8.0,30.0,6.2,8.2,-3.0,NotYet
66.0,-6.0,30.0,6.3,8.3,-3.0,NotYet
66.0,-14.0,30.0,6.3,9.1,-2.8,NotYet
66.0,-12.0,30.0,6.2,8.8,-2.8,NotYet
66.0,-10.0,30.0,6.2,8.5,-2.8,NotYet
66.0,-8.0,30.0,6.2,8.3,-2.8,NotYet
66.0,-6.0,30.0,6.3,8.5,-2.8,NotYet
68.0,-14.0,30.0,6.4,8.7,-3.4,NotYet
68.0,-12.0,30.0,6.3,8.5,-3.4,NotYet
68.0,-10.0,30.0,6.2,8.3,-3.4,NotYet
68.0,-8.0,30.0,6.2,8.2,-3.4,NotYet
68.0,-6.0,30.0,6.2,8.2,-3.4,NotYet
68.0,-14.0,30.0,6.4,8.7,-3.2,NotYet
68.0,-12.0,30.0,6.3,8.5,-3.2,NotYet
68.0,-10.0,30.0,6.2,8.3,-3.2,NotYet
68.0,-8.0,30.0,6.2,8.1,-3.2,NotYet
68.0,-6.0,30.0,6.3,8.2,-3.2,NotYet
68.0,-14.0,30.0,6.4,8.8,-3.0,NotYet
68.0,-12.0,30.0,6.3,8.5,-3.0,NotYet
68.0,-10.0,30.0,6.3,8.3,-3.0,NotYet
68.0,-8.0,30.0,6.2,8.2,-3.0,NotYet
68.0,-6.0,30.0,6.3,8.2,-3.0,NotYet
68.0,-14.0,30.0,6.4,9.0,-2.8,NotYet
68.0,-12.0,30.0,6.3,8.8,-2.8,NotYet
68.0,-10.0,30.0,6.3,8.5,-2.8,NotYet
68.0,-8.0,30.0,6.3,8.2,-2.8,NotYet
68.0,-6.0,30.0,6.3,8.3,-2.8,NotYet
70.0,-14.0,30.0,6.5,8.7,-3.4,NotYet
70.0,-12.0,30.0,6.4,8.5,-3.4,NotYet
70.0,-10.0,30.0,6.3,8.3,-3.4,NotYet
70.0,-8.0,30.0,6.3,8.2,-3.4,NotYet
