cx,cy,cz,a,b,theta,Rt,Rp,E,E_p1,E_t1,E_t2,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.2,1.4,16,7.2,5.9,25,2,2,-82.07583687,-12.40217918,-9.474024243,-13.52087577,-1.117644256,-0.025640059,-1.7466904,-0.90269447,-0.022108432,-1.82640676,-0.05991842,-0.475759884,-2.053616209,-0.230952545,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.0_Rp=2.0.log
0.2,1.4,16,7.3,5.8,25,2.3,2.1,-82.07518677,-12.70683528,-9.363659039,-13.30932395,-1.117644256,-0.024919677,-1.645655015,-0.90269447,-0.021419426,-1.886656506,-0.05036207,-0.401554317,-2.141987187,-0.264376866,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=5.8_Rt=2.3_Rp=2.1.log
0.2,1.4,16,7.2,6,25,2.1,2,-82.06087138,-12.65749166,-9.177129182,-13.56037564,-1.117644256,-0.024789155,-1.754913919,-0.90269447,-0.021361695,-1.769963491,-0.05554593,-0.436976629,-2.106423685,-0.240809472,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=6.0_Rt=2.1_Rp=2.0.log
0.2,1.4,16,7.3,6,25,2.3,2.2,-82.06046538,-12.7467148,-8.997264735,-13.50000227,-1.117644256,-0.021918924,-1.858048325,-0.90269447,-0.018758784,-1.913134918,-0.04897088,-0.425327533,-2.158966353,-0.23688628,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=6.0_Rt=2.3_Rp=2.2.log
0.2,1.4,16,7.3,6,25,2.3,2.3,-82.05380624,-12.7467148,-8.912479349,-13.52867195,-1.117644256,-0.020604918,-1.870683866,-0.90269447,-0.01756275,-1.972152233,-0.04897088,-0.458181447,-2.158966353,-0.222247099,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=6.0_Rt=2.3_Rp=2.3.log
0.2,1.4,16,7.1,6,25,2.4,2.2,-82.0523567,-12.84142237,-8.997264735,-13.37881566,-1.117644256,-0.021918924,-1.858048325,-0.90269447,-0.018758784,-1.913134918,-0.046441388,-0.415801304,-2.169182216,-0.261150837,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.1_b=6.0_Rt=2.4_Rp=2.2.log
0.2,1.4,16,7.3,5.8,25,2.3,2,-82.04789259,-12.70683528,-9.537568416,-13.15270247,-1.117644256,-0.026529868,-1.651094272,-0.90269447,-0.022879015,-1.839845515,-0.05036207,-0.372432205,-2.141987187,-0.281714967,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=5.8_Rt=2.3_Rp=2.0.log
0.2,1.4,16,7.3,5.8,25,2,1.9,-82.0345762,-12.39215408,-9.717569659,-13.4081825,-1.117644256,-0.028231675,-1.627012948,-0.90269447,-0.024441514,-1.781436256,-0.060465608,-0.432885891,-2.017356799,-0.247943006,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=5.8_Rt=2.0_Rp=1.9.log
0.2,1.4,16,7.1,5.9,25,2.2,2,-82.03451031,-12.60700534,-9.474024243,-13.22227764,-1.117644256,-0.025640059,-1.7466904,-0.90269447,-0.022108432,-1.82640676,-0.053268696,-0.419537498,-2.153132392,-0.267417151,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.1_b=5.9_Rt=2.2_Rp=2.0.log
0.2,1.4,16,7.2,6,25,2.1,2.2,-82.0259084,-12.65749166,-8.997264735,-13.56037564,-1.117644256,-0.021918924,-1.858048325,-0.90269447,-0.018758784,-1.913134918,-0.05554593,-0.508150068,-2.106423685,-0.211602647,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=6.0_Rt=2.1_Rp=2.2.log
0.2,1.4,16,7.2,5.8,25,2.2,2,-82.02296413,-12.60176375,-9.537568416,-13.22457872,-1.117644256,-0.026529868,-1.651094272,-0.90269447,-0.022879015,-1.839845515,-0.053787019,-0.412220104,-2.132159126,-0.269061228,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.8_Rt=2.2_Rp=2.0.log
0.2,1.4,16,7.3,6,25,2.2,2.2,-82.01363682,-12.71176061,-8.997264735,-13.52867195,-1.117644256,-0.021918924,-1.858048325,-0.90269447,-0.018758784,-1.913134918,-0.052024971,-0.458181447,-2.120567761,-0.222247099,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=6.0_Rt=2.2_Rp=2.2.log
0.2,1.4,16,7.3,6,25,2.2,2.1,-81.99067999,-12.71176061,-9.086479087,-13.50000227,-1.117644256,-0.023311996,-1.816199683,-0.90269447,-0.020022589,-1.844709972,-0.052024971,-0.425327533,-2.120567761,-0.23688628,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=6.0_Rt=2.2_Rp=2.1.log
0.2,1.4,16,7.2,5.8,25,2.2,2.1,-81.98675429,-12.60176375,-9.363659039,-13.34541644,-1.117644256,-0.024919677,-1.645655015,-0.90269447,-0.021419426,-1.886656506,-0.053787019,-0.444906473,-2.132159126,-0.252190621,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.8_Rt=2.2_Rp=2.1.log
0.2,1.4,16,7.3,5.8,25,2.3,2.2,-81.9619689,-12.70683528,-9.203825967,-13.4081825,-1.117644256,-0.023398593,-1.597256424,-0.90269447,-0.020035139,-1.916896213,-0.05036207,-0.432885891,-2.141987187,-0.247943006,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=5.8_Rt=2.3_Rp=2.2.log
0.2,1.4,16,7.1,6,25,2.2,2,-81.95254307,-12.72895062,-9.177129182,-13.37881566,-1.117644256,-0.024789155,-1.754913919,-0.90269447,-0.021361695,-1.769963491,-0.052498742,-0.415801304,-2.166241704,-0.261150837,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.1_b=6.0_Rt=2.2_Rp=2.0.log
0.2,1.4,16,7.2,6,25,2.3,2,-81.95071576,-12.8350977,-9.177129182,-13.29241004,-1.117644256,-0.024789155,-1.754913919,-0.90269447,-0.021361695,-1.769963491,-0.049174821,-0.375574775,-2.176662762,-0.273625108,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=6.0_Rt=2.3_Rp=2.0.log
0.2,1.4,16,7.3,5.8,25,2.1,2.1,-81.94753492,-12.54091975,-9.363659039,-13.44252989,-1.117644256,-0.024919677,-1.645655015,-0.90269447,-0.021419426,-1.886656506,-0.056892567,-0.466632751,-2.071204687,-0.232434096,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=5.8_Rt=2.1_Rp=2.1.log
0.2,1.4,16,7.2,5.8,25,2.1,1.9,-81.945274,-12.45170603,-9.717569659,-13.22457872,-1.117644256,-0.028231675,-1.627012948,-0.90269447,-0.024441514,-1.781436256,-0.057188751,-0.412220104,-2.099581944,-0.269061228,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.8_Rt=2.1_Rp=1.9.log
0.2,1.4,16,7.1,5.9,25,2.4,2.2,-81.94298986,-12.74429512,-9.232282291,-13.22227764,-1.117644256,-0.022646836,-1.789879404,-0.90269447,-0.019387549,-1.946511547,-0.047098391,-0.419537498,-2.139204808,-0.267417151,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.1_b=5.9_Rt=2.4_Rp=2.2.log
0.2,1.4,16,7.1,6,25,2.1,2.1,-81.94110796,-12.56967352,-9.086479087,-13.54811096,-1.117644256,-0.023311996,-1.816199683,-0.90269447,-0.020022589,-1.844709972,-0.055818897,-0.484849366,-2.134031615,-0.229299057,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.1_b=6.0_Rt=2.1_Rp=2.1.log
0.2,1.4,16,7.2,5.8,25,2.1,2,-81.93780475,-12.45170603,-9.537568416,-13.34541644,-1.117644256,-0.026529868,-1.651094272,-0.90269447,-0.022879015,-1.839845515,-0.057188751,-0.444906473,-2.099581944,-0.252190621,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.8_Rt=2.1_Rp=2.0.log
0.2,1.4,16,7.1,5.9,25,2.1,2,-81.93761022,-12.42796293,-9.474024243,-13.35874287,-1.117644256,-0.025640059,-1.7466904,-0.90269447,-0.022108432,-1.82640676,-0.056647838,-0.453198389,-2.127059979,-0.250576666,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.1_b=5.9_Rt=2.1_Rp=2.0.log
0.2,1.4,16,7.3,6,25,2.3,2.1,-81.93357533,-12.7467148,-9.086479087,-13.41615062,-1.117644256,-0.023311996,-1.816199683,-0.90269447,-0.020022589,-1.844709972,-0.04897088,-0.394786622,-2.158966353,-0.25242782,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=6.0_Rt=2.3_Rp=2.1.log
0.2,1.4,16,7.3,5.9,25,2,2.1,-81.92324526,-12.47667089,-9.349973046,-13.47956302,-1.117644256,-0.024106424,-1.783207717,-0.90269447,-0.020711595,-1.891719257,-0.059591487,-0.498195877,-2.014452055,-0.213134399,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=5.9_Rt=2.0_Rp=2.1.log
0.2,1.4,16,7.1,5.9,25,2.1,2.1,-81.9216564,-12.42796293,-9.349973046,-13.4050073,-1.117644256,-0.024106424,-1.783207717,-0.90269447,-0.020711595,-1.891719257,-0.056647838,-0.489482273,-2.127059979,-0.234652972,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.1_b=5.9_Rt=2.1_Rp=2.1.log
0.2,1.4,16,7.2,5.8,25,2.3,2.1,-81.91255249,-12.689858,-9.363659039,-13.22457872,-1.117644256,-0.024919677,-1.645655015,-0.90269447,-0.021419426,-1.886656506,-0.050587974,-0.412220104,-2.146816504,-0.269061228,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.8_Rt=2.3_Rp=2.1.log
0.2,1.4,16,7.2,6,25,2.4,2.1,-81.91163507,-12.83445701,-9.086479087,-13.29241004,-1.117644256,-0.023311996,-1.816199683,-0.90269447,-0.020022589,-1.844709972,-0.04627196,-0.375574775,-2.184708068,-0.273625108,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=6.0_Rt=2.4_Rp=2.1.log
0.2,1.4,16,7.3,5.8,25,2.2,2.2,-81.9028311,-12.64965783,-9.203825967,-13.44252989,-1.117644256,-0.023398593,-1.597256424,-0.90269447,-0.020035139,-1.916896213,-0.053529113,-0.466632751,-2.113843364,-0.232434096,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=5.8_Rt=2.2_Rp=2.2.log
0.2,1.4,16,7.3,6,25,2.2,2.3,-81.89897819,-12.71176061,-8.912479349,-13.50000227,-1.117644256,-0.020604918,-1.870683866,-0.90269447,-0.01756275,-1.972152233,-0.052024971,-0.493482021,-2.120567761,-0.208500865,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=6.0_Rt=2.2_Rp=2.3.log
0.2,1.4,16,7.2,5.9,25,2,2.1,-81.89588833,-12.40217918,-9.349973046,-13.48278465,-1.117644256,-0.024106424,-1.783207717,-0.90269447,-0.020711595,-1.891719257,-0.05991842,-0.513051549,-2.053616209,-0.216379253,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.0_Rp=2.1.log
0.2,1.4,16,7.1,5.9,25,2.2,2.3,-81.89114749,-12.60700534,-9.12524791,-13.35874287,-1.117644256,-0.021272589,-1.754377398,-0.90269447,-0.018135039,-1.98621285,-0.053268696,-0.528335809,-2.153132392,-0.219672426,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.1_b=5.9_Rt=2.2_Rp=2.3.log
0.2,1.4,16,7.3,5.9,25,2.4,2,-81.87835445,-12.73889288,-9.474024243,-13.05476761,-1.117644256,-0.025640059,-1.7466904,-0.90269447,-0.022108432,-1.82640676,-0.046735062,-0.342636148,-2.168510152,-0.293018932,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=5.9_Rt=2.4_Rp=2.0.log
0.2,1.4,16,7.3,6,25,2.4,2.2,-81.87057458,-12.73085448,-8.997264735,-13.41615062,-1.117644256,-0.021918924,-1.858048325,-0.90269447,-0.018758784,-1.913134918,-0.04609312,-0.394786622,-2.181610051,-0.25242782,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=6.0_Rt=2.4_Rp=2.2.log
0.2,1.4,16,7.1,6,25,2.1,2,-81.8631869,-12.56967352,-9.177129182,-13.50547353,-1.117644256,-0.024789155,-1.754913919,-0.90269447,-0.021361695,-1.769963491,-0.055818897,-0.449015408,-2.134031615,-0.244767806,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.1_b=6.0_Rt=2.1_Rp=2.0.log
0.2,1.4,16,7.3,5.8,25,2,2,-81.85897066,-12.39215408,-9.537568416,-13.44252989,-1.117644256,-0.026529868,-1.651094272,-0.90269447,-0.022879015,-1.839845515,-0.060465608,-0.466632751,-2.017356799,-0.232434096,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=5.8_Rt=2.0_Rp=2.0.log
0.2,1.4,16,7.2,6,25,2.1,1.9,-81.85157985,-12.65749166,-9.266363614,-13.45677248,-1.117644256,-0.026341615,-1.682020475,-0.90269447,-0.022778613,-1.691066659,-0.05554593,-0.405145556,-2.106423685,-0.256773954,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=6.0_Rt=2.1_Rp=1.9.log
0.2,1.4,16,7.2,5.8,25,2.3,2.2,-81.84512905,-12.689858,-9.203825967,-13.34541644,-1.117644256,-0.023398593,-1.597256424,-0.90269447,-0.020035139,-1.916896213,-0.050587974,-0.444906473,-2.146816504,-0.252190621,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.8_Rt=2.3_Rp=2.2.log
0.2,1.4,16,7.3,6,25,2.2,2,-81.84106216,-12.71176061,-9.177129182,-13.41615062,-1.117644256,-0.024789155,-1.754913919,-0.90269447,-0.021361695,-1.769963491,-0.052024971,-0.394786622,-2.120567761,-0.25242782,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=6.0_Rt=2.2_Rp=2.0.log
0.2,1.4,16,7.1,6,25,2.1,2.2,-81.83275204,-12.56967352,-8.997264735,-13.50547353,-1.117644256,-0.021918924,-1.858048325,-0.90269447,-0.018758784,-1.913134918,-0.055818897,-0.523262391,-2.134031615,-0.214751492,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.1_b=6.0_Rt=2.1_Rp=2.2.log
0.2,1.4,16,7.3,6,25,2.1,2.1,-81.83040013,-12.63231282,-9.086479087,-13.52867195,-1.117644256,-0.023311996,-1.816199683,-0.90269447,-0.020022589,-1.844709972,-0.055274846,-0.458181447,-2.069741333,-0.222247099,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=6.0_Rt=2.1_Rp=2.1.log
0.2,1.4,16,7.2,5.9,25,2.4,2,-81.82519933,-12.79506193,-9.474024243,-12.96254749,-1.117644256,-0.025640059,-1.7466904,-0.90269447,-0.022108432,-1.82640676,-0.046925198,-0.350975128,-2.163993335,-0.298480152,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.4_Rp=2.0.log
0.2,1.4,16,7.2,5.8,25,2.3,2,-81.81517047,-12.689858,-9.537568416,-13.03361676,-1.117644256,-0.026529868,-1.651094272,-0.90269447,-0.022879015,-1.839845515,-0.050587974,-0.381924549,-2.146816504,-0.286869334,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.8_Rt=2.3_Rp=2.0.log
0.2,1.4,16,7.1,5.9,25,2.3,2,-81.80029095,-12.71645815,-9.474024243,-13.00662191,-1.117644256,-0.025640059,-1.7466904,-0.90269447,-0.022108432,-1.82640676,-0.050090986,-0.388382254,-2.158760529,-0.285215218,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.1_b=5.9_Rt=2.3_Rp=2.0.log
