z,A2,a,b,theta,status
-2.2,16.0,8.0,6.0,30,NotYet
-2.2,18.0,8.0,6.0,30,NotYet
-2.2,20.0,8.0,6.0,30,NotYet
-2.0,-20.0,8.0,6.0,30,NotYet
-2.0,-18.0,8.0,6.0,30,NotYet
-2.0,-16.0,8.0,6.0,30,NotYet
-2.0,-14.0,8.0,6.0,30,NotYet
-2.0,-12.0,8.0,6.0,30,NotYet
-2.0,-10.0,8.0,6.0,30,NotYet
-2.0,-8.0,8.0,6.0,30,NotYet
-2.0,-6.0,8.0,6.0,30,NotYet
-2.0,-4.0,8.0,6.0,30,NotYet
-2.0,-2.0,8.0,6.0,30,NotYet
-2.0,0.0,8.0,6.0,30,NotYet
-2.0,2.0,8.0,6.0,30,NotYet
-2.0,4.0,8.0,6.0,30,NotYet
-2.0,6.0,8.0,6.0,30,NotYet
-2.0,8.0,8.0,6.0,30,NotYet
-2.0,10.0,8.0,6.0,30,NotYet
-2.0,12.0,8.0,6.0,30,NotYet
-2.0,14.0,8.0,6.0,30,NotYet
-2.0,16.0,8.0,6.0,30,NotYet
-2.0,18.0,8.0,6.0,30,NotYet
-2.0,20.0,8.0,6.0,30,NotYet
-1.8,-20.0,8.0,6.0,30,NotYet
-1.8,-18.0,8.0,6.0,30,NotYet
-1.8,-16.0,8.0,6.0,30,NotYet
-1.8,-14.0,8.0,6.0,30,NotYet
-1.8,-12.0,8.0,6.0,30,NotYet
-1.8,-10.0,8.0,6.0,30,NotYet
-1.8,-8.0,8.0,6.0,30,NotYet
-1.8,-6.0,8.0,6.0,30,NotYet
-1.8,-4.0,8.0,6.0,30,NotYet
-1.8,-2.0,8.0,6.0,30,NotYet
-1.8,0.0,8.0,6.0,30,NotYet
-1.8,2.0,8.0,6.0,30,NotYet
-1.8,4.0,8.0,6.0,30,NotYet
-1.8,6.0,8.0,6.0,30,NotYet
-1.8,8.0,8.0,6.0,30,NotYet
-1.8,10.0,8.0,6.0,30,NotYet
-1.8,12.0,8.0,6.0,30,NotYet
-1.8,14.0,8.0,6.0,30,NotYet
-1.8,16.0,8.0,6.0,30,NotYet
-1.8,18.0,8.0,6.0,30,NotYet
-1.8,20.0,8.0,6.0,30,NotYet
-1.6,-20.0,8.0,6.0,30,NotYet
-1.6,-18.0,8.0,6.0,30,NotYet
-1.6,-16.0,8.0,6.0,30,NotYet
-1.6,-14.0,8.0,6.0,30,NotYet
-1.6,-12.0,8.0,6.0,30,NotYet
-1.6,-10.0,8.0,6.0,30,NotYet
-1.6,-8.0,8.0,6.0,30,NotYet
-1.6,-6.0,8.0,6.0,30,NotYet
-1.6,-4.0,8.0,6.0,30,NotYet
-1.6,-2.0,8.0,6.0,30,NotYet
-1.6,0.0,8.0,6.0,30,NotYet
-1.6,2.0,8.0,6.0,30,NotYet
-1.6,4.0,8.0,6.0,30,NotYet
-1.6,6.0,8.0,6.0,30,NotYet
-1.6,8.0,8.0,6.0,30,NotYet
-1.6,10.0,8.0,6.0,30,NotYet
-1.6,12.0,8.0,6.0,30,NotYet
-1.6,14.0,8.0,6.0,30,NotYet
-1.6,16.0,8.0,6.0,30,NotYet
-1.6,18.0,8.0,6.0,30,NotYet
-1.6,20.0,8.0,6.0,30,NotYet
-1.4,-20.0,8.0,6.0,30,NotYet
-1.4,-18.0,8.0,6.0,30,NotYet
-1.4,-16.0,8.0,6.0,30,NotYet
-1.4,-14.0,8.0,6.0,30,NotYet
-1.4,-12.0,8.0,6.0,30,NotYet
-1.4,-10.0,8.0,6.0,30,NotYet
