theta,phi,z,r,status
0.0,35.0,1.5,4.9,NotYet
0.0,40.0,0.0,4.7,NotYet
0.0,40.0,0.1,4.8,NotYet
0.0,40.0,0.2,4.8,NotYet
0.0,40.0,0.3,4.9,NotYet
0.0,40.0,0.4,4.9,NotYet
0.0,40.0,0.5,4.9,NotYet
0.0,40.0,0.6,5.0,NotYet
0.0,40.0,0.7,5.0,NotYet
0.0,40.0,0.8,5.0,NotYet
0.0,40.0,0.9,5.0,NotYet
0.0,40.0,1.0,5.1,NotYet
0.0,40.0,1.1,5.1,NotYet
0.0,40.0,1.2,5.1,NotYet
0.0,40.0,1.3,5.1,NotYet
0.0,40.0,1.4,5.1,NotYet
0.0,40.0,1.5,5.1,NotYet
0.0,45.0,0.0,4.8,NotYet
0.0,45.0,0.1,4.8,NotYet
0.0,45.0,0.2,4.9,NotYet
0.0,45.0,0.3,4.9,NotYet
0.0,45.0,0.4,5.0,NotYet
0.0,45.0,0.5,5.0,NotYet
0.0,45.0,0.6,5.1,NotYet
0.0,45.0,0.7,5.1,NotYet
0.0,45.0,0.8,5.1,NotYet
0.0,45.0,0.9,5.1,NotYet
0.0,45.0,1.0,5.1,NotYet
0.0,45.0,1.1,5.1,NotYet
0.0,45.0,1.2,5.1,NotYet
0.0,45.0,1.3,5.1,NotYet
0.0,45.0,1.4,5.1,NotYet
0.0,45.0,1.5,5.1,NotYet
0.0,50.0,0.0,4.8,NotYet
0.0,50.0,0.1,4.9,NotYet
0.0,50.0,0.2,4.9,NotYet
0.0,50.0,0.3,5.0,NotYet
0.0,50.0,0.4,5.0,NotYet
0.0,50.0,0.5,5.1,NotYet
0.0,50.0,0.6,5.1,NotYet
0.0,50.0,0.7,5.1,NotYet
0.0,50.0,0.8,5.1,NotYet
0.0,50.0,0.9,5.2,NotYet
0.0,50.0,1.0,5.2,NotYet
0.0,50.0,1.1,5.2,NotYet
0.0,50.0,1.2,5.2,NotYet
0.0,50.0,1.3,5.2,NotYet
0.0,50.0,1.4,5.2,NotYet
0.0,50.0,1.5,5.2,NotYet
0.0,55.0,0.0,4.8,NotYet
0.0,55.0,0.1,4.9,NotYet
0.0,55.0,0.2,4.9,NotYet
0.0,55.0,0.3,5.0,NotYet
0.0,55.0,0.4,5.0,NotYet
0.0,55.0,0.5,5.0,NotYet
0.0,55.0,0.6,5.1,NotYet
0.0,55.0,0.7,5.1,NotYet
0.0,55.0,0.8,5.1,NotYet
0.0,55.0,0.9,5.1,NotYet
0.0,55.0,1.0,5.2,NotYet
0.0,55.0,1.1,5.2,NotYet
0.0,55.0,1.2,5.2,NotYet
0.0,55.0,1.3,5.2,NotYet
0.0,55.0,1.4,5.2,NotYet
0.0,55.0,1.5,5.2,NotYet
0.0,60.0,0.0,4.7,NotYet
0.0,60.0,0.1,4.8,NotYet
0.0,60.0,0.2,4.8,NotYet
0.0,60.0,0.3,4.9,NotYet
0.0,60.0,0.4,4.9,NotYet
0.0,60.0,0.5,5.0,NotYet
0.0,60.0,0.6,5.0,NotYet
0.0,60.0,0.7,5.0,NotYet
0.0,60.0,0.8,5.1,NotYet
0.0,60.0,0.9,5.1,NotYet
0.0,60.0,1.0,5.1,NotYet
0.0,60.0,1.1,5.1,NotYet
0.0,60.0,1.2,5.1,NotYet
0.0,60.0,1.3,5.1,NotYet
0.0,60.0,1.4,5.1,NotYet
0.0,60.0,1.5,5.1,NotYet
0.0,65.0,0.0,4.6,NotYet
0.0,65.0,0.1,4.7,NotYet
0.0,65.0,0.2,4.7,NotYet
0.0,65.0,0.3,4.8,NotYet
0.0,65.0,0.4,4.8,NotYet
0.0,65.0,0.5,4.9,NotYet
0.0,65.0,0.6,4.9,NotYet
0.0,65.0,0.7,4.9,NotYet
0.0,65.0,0.8,5.0,NotYet
0.0,65.0,0.9,5.0,NotYet
0.0,65.0,1.0,5.0,NotYet
0.0,65.0,1.1,5.0,NotYet
0.0,65.0,1.2,5.0,NotYet
0.0,65.0,1.3,5.0,NotYet
0.0,65.0,1.4,5.0,NotYet
0.0,65.0,1.5,5.0,NotYet
0.0,70.0,0.0,4.4,NotYet
0.0,70.0,0.1,4.5,NotYet
