cx,cy,cz,a,b,theta,z,E,Ei0,Eip1,Eip2,Eip3,Eip4,Eit1,Eit2,Eit3,Eit4,Ei0_,Eip1_,Eip2_,Eip3_,Eip4_,Eit1_,Eit2_,Eit3_,Eit4_,status,file_name,machine_type
-2.5,1.6,7.8,7.0,4.8,45,-1.3,-2.9618111181698623,-0.8287555944989435,-0.0508352126344107,-0.1381494640518212,-0.0102277855185093,-0.2366434336727252,-0.0501449516305001,-0.0690016270964406,-0.9040178889408708,-0.5899892945453757,-0.818136242829496,-0.0558182695240248,-0.1157881451654248,-0.010052710189484,-0.2570757867506472,-0.0339263281639432,-0.0510159354889765,-1.0041553072078386,-0.6998882584302919,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-2.5_cy=1.6_cz=7.8.log,3
-2.4,1.7,7.8,7.0,4.8,45,-1.3,-2.8712573463781155,-0.8375990929780528,-0.0545456792315235,-0.1311527275393018,-0.0106375495088286,-0.2093517687317216,-0.0540292385412612,-0.0699868178053293,-0.8313170903420541,-0.5825846765801543,-0.8247094100661343,-0.0600263515952974,-0.1109098824672401,-0.0104442764422856,-0.227778599874,-0.0360140539414715,-0.0519672406662721,-0.9387104067864128,-0.7007498296588892,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-2.4_cy=1.7_cz=7.8.log,3
-2.3,1.8,7.8,7.0,4.8,45,-1.3,-2.7765162003561272,-0.8450024559570011,-0.0585943737823981,-0.1242319197626784,-0.0110592362325405,-0.1851957712933654,-0.0582266528945183,-0.0708439964801073,-0.7553231193160173,-0.575769290458993,-0.8297778083215235,-0.0645601113646989,-0.106040404876694,-0.0108446278172777,-0.2016911266255192,-0.0382316742761759,-0.052852657274343,-0.8643222338578198,-0.7004649401205825,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-2.3_cy=1.8_cz=7.8.log,3
-2.2,1.0,8.2,7.0,4.8,45,-1.3,-2.6408570096973563,-0.7397966393764364,-0.0330722870276076,-0.2298010645899921,-0.0108992211753502,-0.1621366613107966,-0.0429543145146453,-0.0958628202060936,-0.9314770990313264,-0.3929467620182549,-0.7497966387454653,-0.0353589334554271,-0.1886972770880675,-0.0107950545207131,-0.1703695925098145,-0.0307705803716089,-0.0646730631269747,-0.9433226053079125,-0.4489834050182253,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-2.2_cy=1.0_cz=8.2.log,3
-2.1,0.8,8.4,7.0,4.8,45,-1.3,-2.475480514229276,-0.7491603436355945,-0.027600399844232,-0.2630973726772936,-0.0108458828472066,-0.1336169593414524,-0.038660263584461,-0.1039313437504461,-0.9006575728853932,-0.2928802523383638,-0.7323079350462649,-0.0292551436868961,-0.2178601768100634,-0.0107686991104856,-0.1388202722300775,-0.0285234670445788,-0.0677654324099421,-0.8743730614951346,-0.3308364497206639,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-2.1_cy=0.8_cz=8.4.log,3
-2.0,0.7,8.4,7.0,4.8,45,-1.3,-2.455405214328493,-0.7140291962568881,-0.0271385524538345,-0.3010843180818483,-0.0114075042947661,-0.1248700974392704,-0.0400056450162082,-0.1179285818070638,-0.9194332995975856,-0.2717363028932595,-0.7074748543091118,-0.0286746969504747,-0.2496197129366919,-0.0113353406341047,-0.1288999666285235,-0.029525600533816,-0.0746416869951644,-0.8436363667133264,-0.3093687051150482,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-2.0_cy=0.7_cz=8.4.log,3
-1.9,0.5,8.5,7.0,4.8,45,-1.3,-2.3887504746671766,-0.699179799616104,-0.0241622725443448,-0.3602447058219695,-0.0116528607031796,-0.1098544106644112,-0.0380258509976556,-0.1342745898145949,-0.9244081988726977,-0.2171912511403206,-0.6873964168480597,-0.0253758768812986,-0.3014206634688889,-0.0116020324057899,-0.1121724326076218,-0.0285717853112146,-0.0815091564290924,-0.763355874849367,-0.2471027703577419,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-1.9_cy=0.5_cz=8.5.log,3
-1.8,0.3,8.6,7.0,4.8,45,-1.3,-2.3566803210997023,-0.6892456888308516,-0.0215304956072941,-0.4282247467053821,-0.011872489209054,-0.0962650540750473,-0.0359933461149921,-0.1528488858166383,-0.9295738611835986,-0.1719145221140934,-0.6774309305328643,-0.0224843107862398,-0.3635196805698797,-0.0118417412304552,-0.097375746758189,-0.0275301187357399,-0.0888535334524931,-0.6908477218530606,-0.1960077686235308,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-1.8_cy=0.3_cz=8.6.log,3
-1.7,0.1,8.6,7.0,4.8,45,-1.3,-2.3266072180776973,-0.6378300294745713,-0.0203338340361369,-0.533404835339752,-0.0124642311275238,-0.0899077502836007,-0.0360874725884059,-0.1844559369928902,-0.9640021973173134,-0.1504072443931363,-0.6341264654329279,-0.0211370468605309,-0.4590304675948573,-0.0124529359309235,-0.0902422131184721,-0.0278081056749215,-0.1018147525464883,-0.505129862242029,-0.172579055200913,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-1.7_cy=0.1_cz=8.6.log,3
-1.6,-0.1,8.7,7.0,4.8,45,-1.3,-2.3775695014192024,-0.6476675037411042,-0.0181218612851807,-0.6240837953810114,-0.0126342863513855,-0.0781689207360614,-0.0338955801416887,-0.2089545549097238,-0.967402046531788,-0.1186106851528165,-0.6529103497596225,-0.0187468612275552,-0.5486514458170859,-0.0126449539966415,-0.0779110140865668,-0.0265712834225269,-0.1109362378629157,-0.4610334795434028,-0.1361941428913269,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-1.6_cy=-0.1_cz=8.7.log,3
