theta,A2,a,b,z,E,E1,E2,E3,E4,status
30.0,-6.0,8.0,6.0,0.4,-19.73512674914673,-0.3380584621336311,-4.408339326502755,-7.494364480255172,-7.494364480255172,Done
30.0,-6.0,8.0,6.1,0.6,-18.7810793700628,-0.3380584621336311,-3.406601187773049,-7.518209860078059,-7.518209860078059,Done
30.0,-6.0,7.9,6.2,0.8,-18.29174707201309,-0.3670870750211179,-2.9336720008868724,-7.495493998052552,-7.495493998052552,Done
30.0,-6.0,7.9,6.2,1.0,-18.04519211826846,-0.3670870750211179,-2.8062435453757644,-7.435930748935789,-7.435930748935789,Done
30.0,-4.0,8.1,6.0,-1.0,-18.499835663475096,-0.3119854216929525,-3.823054474079981,-7.182397883851081,-7.182397883851081,Done
30.0,-4.0,8.1,6.0,-0.8,-19.152929245959967,-0.3119854216929525,-4.304862927412614,-7.2680404484272,-7.2680404484272,Done
30.0,-4.0,8.1,5.9,-0.6,-19.88228411856108,-0.3119854216929525,-4.959694712422788,-7.305301992222667,-7.305301992222667,Done
30.0,-4.0,8.2,5.8,-0.4,-20.76739952410572,-0.2877572604920715,-5.837010168470442,-7.321316047571599,-7.321316047571599,Done
30.0,-4.0,8.2,5.7,-0.2,-21.34440124384128,-0.2877572604920715,-6.463886383455247,-7.296378799946979,-7.296378799946979,Done
30.0,-4.0,8.2,5.8,0.0,-21.299490353791043,-0.2877572604920715,-6.2009032177738845,-7.405414937762544,-7.405414937762544,Done
30.0,-4.0,8.1,5.9,0.2,-20.379937199875712,-0.3119854216929525,-5.099566691555083,-7.4841925433138385,-7.4841925433138385,Done
30.0,-4.0,8.0,6.1,0.4,-19.44061748101376,-0.338522819802165,-3.9512798676732928,-7.575407396769151,-7.575407396769151,Done
30.0,-4.0,7.9,6.2,0.6,-18.69686752837152,-0.3676079083234072,-3.197721933713183,-7.565768843167461,-7.565768843167461,Done
30.0,-4.0,7.9,6.2,0.8,-18.19220516132191,-0.3676079083234072,-2.797113275155425,-7.513741988921538,-7.513741988921538,Done
30.0,-4.0,7.9,6.2,1.0,-18.21967754908837,-0.3676079083234072,-2.898606742033735,-7.476731449365616,-7.476731449365616,Done
30.0,-2.0,8.1,6.0,-1.0,-18.541351724648848,-0.3125125300139189,-4.0252507464028895,-7.10179422411602,-7.10179422411602,Done
30.0,-2.0,8.1,6.0,-0.8,-19.351944042136893,-0.3125125300139189,-4.588604124030098,-7.225413694046438,-7.225413694046438,Done
30.0,-2.0,8.1,5.9,-0.6,-20.23422937723808,-0.3125125300139189,-5.341722800396383,-7.289997023413889,-7.289997023413889,Done
30.0,-2.0,8.2,5.8,-0.4,-21.078186402097344,-0.2882090678904205,-6.164902969030663,-7.31253718258813,-7.31253718258813,Done
30.0,-2.0,8.2,5.7,-0.2,-21.33547177701257,-0.2882090678904205,-6.486169263487682,-7.280546722817235,-7.280546722817235,Done
