theta,A2,b,z,E2,machine_type,status,file_name
30.0,0.0,6.2,1.0,-3.3609561102930456,3,Done,BTBT_theta=30_A2=0_b=6.2_z=1.0_2.log
30.0,2.0,5.9,-1.0,-4.4089731115382165,3,Done,BTBT_theta=30_A2=2_b=5.9_z=-1.0_2.log
30.0,2.0,5.8,-0.8,-5.129630696028471,3,Done,BTBT_theta=30_A2=2_b=5.8_z=-0.8_2.log
30.0,2.0,5.8,-0.6,-6.016057596774772,3,Done,BTBT_theta=30_A2=2_b=5.8_z=-0.6_2.log
30.0,2.0,5.7,-0.4,-6.472062838729471,3,Done,BTBT_theta=30_A2=2_b=5.7_z=-0.4_2.log
30.0,2.0,5.8,-0.2,-5.909719752380624,3,Done,BTBT_theta=30_A2=2_b=5.8_z=-0.2_2.log
30.0,2.0,6.0,0.0,-4.676091568078846,3,Done,BTBT_theta=30_A2=2_b=6.0_z=0.0_2.log
30.0,2.0,6.2,0.2,-3.669145096326247,3,Done,BTBT_theta=30_A2=2_b=6.2_z=0.2_2.log
30.0,2.0,6.3,0.4,-3.1255018080119044,3,Done,BTBT_theta=30_A2=2_b=6.3_z=0.4_2.log
30.0,2.0,6.3,0.6,-2.940700113074854,3,Done,BTBT_theta=30_A2=2_b=6.3_z=0.6_2.log
30.0,2.0,6.3,0.8,-3.196749293245375,3,Done,BTBT_theta=30_A2=2_b=6.3_z=0.8_2.log
30.0,2.0,6.2,1.0,-3.6782439914532006,3,Done,BTBT_theta=30_A2=2_b=6.2_z=1.0_2.log
30.0,4.0,5.9,-1.0,-4.721347589278594,3,Done,BTBT_theta=30_A2=4_b=5.9_z=-1.0_2.log
30.0,4.0,5.8,-0.8,-5.523418321274221,3,Done,BTBT_theta=30_A2=4_b=5.8_z=-0.8_2.log
30.0,4.0,5.7,-0.6,-6.286382630001754,3,Done,BTBT_theta=30_A2=4_b=5.7_z=-0.6_2.log
30.0,4.0,5.7,-0.4,-6.34891400160268,3,Done,BTBT_theta=30_A2=4_b=5.7_z=-0.4_2.log
30.0,4.0,5.9,-0.2,-5.360278271604329,3,Done,BTBT_theta=30_A2=4_b=5.9_z=-0.2_2.log
30.0,4.0,6.0,0.0,-4.099397327983752,3,Done,BTBT_theta=30_A2=4_b=6.0_z=0.0_2.log
