theta,A2,a,b,z,E3,E4,machine_type,status,file_name
30.0,8.0,8.3,6.3,0.8,-7.104046985157765,-7.104046985157765,3,Done,BTBT_theta=30_A2=8_a=8.3_b=6.3_z=0.8_3.log
30.0,8.0,8.4,6.2,1.0,-7.046353715821169,-7.046353715821169,3,Done,BTBT_theta=30_A2=8_a=8.4_b=6.2_z=1.0_3.log
30.0,10.0,8.9,5.7,-1.0,-5.9991336521925405,-5.9991336521925405,3,Done,BTBT_theta=30_A2=10_a=8.9_b=5.7_z=-1.0_3.log
30.0,10.0,8.9,5.6,-0.8,-6.071046298020519,-6.071046298020519,3,Done,BTBT_theta=30_A2=10_a=8.9_b=5.6_z=-0.8_3.log
30.0,10.0,8.9,5.7,-0.6,-6.243580172420479,-6.243580172420479,3,Done,BTBT_theta=30_A2=10_a=8.9_b=5.7_z=-0.6_3.log
30.0,10.0,8.7,5.9,-0.4,-6.5274845220847055,-6.5274845220847055,3,Done,BTBT_theta=30_A2=10_a=8.7_b=5.9_z=-0.4_3.log
30.0,10.0,8.5,6.1,-0.2,-6.754009356838651,-6.754009356838651,3,Done,BTBT_theta=30_A2=10_a=8.5_b=6.1_z=-0.2_3.log
30.0,10.0,8.4,6.3,0.0,-6.9070151201449335,-6.9070151201449335,3,Done,BTBT_theta=30_A2=10_a=8.4_b=6.3_z=0.0_3.log
30.0,10.0,8.3,6.4,0.2,-6.976204372942448,-6.976204372942448,3,Done,BTBT_theta=30_A2=10_a=8.3_b=6.4_z=0.2_3.log
30.0,10.0,8.3,6.4,0.4,-6.986690065125004,-6.986690065125004,3,Done,BTBT_theta=30_A2=10_a=8.3_b=6.4_z=0.4_3.log
30.0,10.0,8.4,6.3,0.6,-6.941804274683818,-6.941804274683818,3,Done,BTBT_theta=30_A2=10_a=8.4_b=6.3_z=0.6_3.log
30.0,10.0,8.5,6.2,0.8,-6.879699609708041,-6.879699609708041,3,Done,BTBT_theta=30_A2=10_a=8.5_b=6.2_z=0.8_3.log
30.0,10.0,8.6,6.2,1.0,-6.8320402255048975,-6.8320402255048975,3,Done,BTBT_theta=30_A2=10_a=8.6_b=6.2_z=1.0_3.log
60.0,-10.0,5.8,8.5,-1.0,-6.979956882656552,-6.979956882656552,3,Done,BTBT_theta=60_A2=-10_a=5.8_b=8.5_z=-1.0_3.log
