a,b,theta,E,E_t1,machine_type,status,file_name
3.7,15.9,15,-2.145967483,-2.145967483,3,Done,pyrene_theta=15_a=3.7_b=15.9.log
3.8,16.3,15,-2.137993086,-2.137993086,3,Done,pyrene_theta=15_a=3.8_b=16.3.log
3.7,16.3,15,-2.116549814,-2.116549814,3,Done,pyrene_theta=15_a=3.7_b=16.3.log
3.6,16.1,15,-2.100783626,-2.100783626,3,Done,pyrene_theta=15_a=3.6_b=16.1.log
3.6,16.2,15,-2.099865578,-2.099865578,3,Done,pyrene_theta=15_a=3.6_b=16.2.log
3.6,16.3,15,-2.083554083,-2.083554083,3,Done,pyrene_theta=15_a=3.6_b=16.3.log
3.6,16,15,-2.083551573,-2.083551573,3,Done,pyrene_theta=15_a=3.6_b=16.0.log
3.7,16.4,15,-2.076407372,-2.076407372,3,Done,pyrene_theta=15_a=3.7_b=16.4.log
3.6,16.4,15,-2.054379889,-2.054379889,3,Done,pyrene_theta=15_a=3.6_b=16.4.log
3.6,15.9,15,-2.045089603,-2.045089603,3,Done,pyrene_theta=15_a=3.6_b=15.9.log
3.5,16.2,15,-2.039487821,-2.039487821,3,Done,pyrene_theta=15_a=3.5_b=16.2.log
3.5,16.3,15,-2.038114829,-2.038114829,3,Done,pyrene_theta=15_a=3.5_b=16.3.log
3.5,16.4,15,-2.021591236,-2.021591236,3,Done,pyrene_theta=15_a=3.5_b=16.4.log
3.6,16.5,15,-2.014591362,-2.014591362,3,Done,pyrene_theta=15_a=3.6_b=16.5.log
3.5,16.5,15,-1.992400726,-1.992400726,3,Done,pyrene_theta=15_a=3.5_b=16.5.log
3.4,16.3,15,-1.979538026,-1.979538026,3,Done,pyrene_theta=15_a=3.4_b=16.3.log
3.4,16.4,15,-1.977319778,-1.977319778,3,Done,pyrene_theta=15_a=3.4_b=16.4.log
3.4,16.5,15,-1.960250251,-1.960250251,3,Done,pyrene_theta=15_a=3.4_b=16.5.log
7.6,7.8,20,-6.927647649,-6.927647649,3,Done,pyrene_theta=20_a=7.6_b=7.8.log
7.7,7.6,20,-6.926970566,-6.926970566,3,Done,pyrene_theta=20_a=7.7_b=7.6.log
7.7,7.7,20,-6.925337157,-6.925337157,3,Done,pyrene_theta=20_a=7.7_b=7.7.log
7.6,7.7,20,-6.918841174,-6.918841174,3,Done,pyrene_theta=20_a=7.6_b=7.7.log
7.7,7.5,20,-6.914134221,-6.914134221,3,Done,pyrene_theta=20_a=7.7_b=7.5.log
7.7,7.8,20,-6.910237384,-6.910237384,3,Done,pyrene_theta=20_a=7.7_b=7.8.log
7.8,7.5,20,-6.907964543,-6.907964543,3,Done,pyrene_theta=20_a=7.8_b=7.5.log
7.8,7.6,20,-6.896736507,-6.896736507,3,Done,pyrene_theta=20_a=7.8_b=7.6.log
7.6,7.6,20,-6.893860628,-6.893860628,3,Done,pyrene_theta=20_a=7.6_b=7.6.log
7.5,7.8,20,-6.879132968,-6.879132968,3,Done,pyrene_theta=20_a=7.5_b=7.8.log
7.8,7.7,20,-6.873555659,-6.873555659,3,Done,pyrene_theta=20_a=7.8_b=7.7.log
7.9,7.5,20,-6.845948357,-6.845948357,3,Done,pyrene_theta=20_a=7.9_b=7.5.log
7.5,7.7,20,-6.841186811,-6.841186811,3,Done,pyrene_theta=20_a=7.5_b=7.7.log
7.8,7.8,20,-6.839294241,-6.839294241,3,Done,pyrene_theta=20_a=7.8_b=7.8.log
7.9,7.6,20,-6.81551977,-6.81551977,3,Done,pyrene_theta=20_a=7.9_b=7.6.log
7.5,7.6,20,-6.784048261,-6.784048261,3,Done,pyrene_theta=20_a=7.5_b=7.6.log
7.9,7.7,20,-6.775312066,-6.775312066,3,Done,pyrene_theta=20_a=7.9_b=7.7.log
8,7.5,20,-6.739691461,-6.739691461,3,Done,pyrene_theta=20_a=8.0_b=7.5.log
8,7.6,20,-6.694361394,-6.694361394,3,Done,pyrene_theta=20_a=8.0_b=7.6.log
8,7.7,20,-6.641120935,-6.641120935,3,Done,pyrene_theta=20_a=8.0_b=7.7.log
3.9,15.6,20,-2.344562475,-2.344562475,3,Done,pyrene_theta=20_a=3.9_b=15.6.log
3.9,15.7,20,-2.327764033,-2.327764033,3,Done,pyrene_theta=20_a=3.9_b=15.7.log
3.9,15.8,20,-2.296701033,-2.296701033,3,Done,pyrene_theta=20_a=3.9_b=15.8.log
3.8,15.7,20,-2.278683338,-2.278683338,3,Done,pyrene_theta=20_a=3.8_b=15.7.log
3.8,15.6,20,-2.278234041,-2.278234041,3,Done,pyrene_theta=20_a=3.8_b=15.6.log
3.8,15.8,20,-2.262169785,-2.262169785,3,Done,pyrene_theta=20_a=3.8_b=15.8.log
3.8,15.9,20,-2.231437483,-2.231437483,3,Done,pyrene_theta=20_a=3.8_b=15.9.log
3.7,15.8,20,-2.213260401,-2.213260401,3,Done,pyrene_theta=20_a=3.7_b=15.8.log
3.7,15.7,20,-2.213000611,-2.213000611,3,Done,pyrene_theta=20_a=3.7_b=15.7.log
3.7,15.9,20,-2.196680959,-2.196680959,3,Done,pyrene_theta=20_a=3.7_b=15.9.log
3.7,15.6,20,-2.192957314,-2.192957314,3,Done,pyrene_theta=20_a=3.7_b=15.6.log
3.8,16,20,-2.189001491,-2.189001491,3,Done,pyrene_theta=20_a=3.8_b=16.0.log
3.7,16,20,-2.166008897,-2.166008897,3,Done,pyrene_theta=20_a=3.7_b=16.0.log
3.6,15.8,20,-2.148892307,-2.148892307,3,Done,pyrene_theta=20_a=3.6_b=15.8.log
3.6,15.9,20,-2.148506389,-2.148506389,3,Done,pyrene_theta=20_a=3.6_b=15.9.log
3.6,16,20,-2.131491455,-2.131491455,3,Done,pyrene_theta=20_a=3.6_b=16.0.log
3.6,15.7,20,-2.129680461,-2.129680461,3,Done,pyrene_theta=20_a=3.6_b=15.7.log
8.3,7.3,25,-6.417503354,-6.417503354,3,Done,pyrene_theta=25_a=8.3_b=7.3.log
8.2,7.3,25,-6.393149691,-6.393149691,3,Done,pyrene_theta=25_a=8.2_b=7.3.log
8.4,7.3,25,-6.386936087,-6.386936087,3,Done,pyrene_theta=25_a=8.4_b=7.3.log
8.3,7.2,25,-6.385991685,-6.385991685,3,Done,pyrene_theta=25_a=8.3_b=7.2.log
8.4,7.2,25,-6.382128733,-6.382128733,3,Done,pyrene_theta=25_a=8.4_b=7.2.log
8.4,7.1,25,-6.362537243,-6.362537243,3,Done,pyrene_theta=25_a=8.4_b=7.1.log
8.3,7.1,25,-6.336853887,-6.336853887,3,Done,pyrene_theta=25_a=8.3_b=7.1.log
8.5,7.1,25,-6.332966462,-6.332966462,3,Done,pyrene_theta=25_a=8.5_b=7.1.log
8.2,7.2,25,-6.329272938,-6.329272938,3,Done,pyrene_theta=25_a=8.2_b=7.2.log
8.5,7.2,25,-6.328488551,-6.328488551,3,Done,pyrene_theta=25_a=8.5_b=7.2.log
8.5,7.3,25,-6.311822513,-6.311822513,3,Done,pyrene_theta=25_a=8.5_b=7.3.log
8.5,7.4,25,-6.283960441,-6.283960441,3,Done,pyrene_theta=25_a=8.5_b=7.4.log
8.6,7.1,25,-6.258626608,-6.258626608,3,Done,pyrene_theta=25_a=8.6_b=7.1.log
8.2,7.1,25,-6.244774952,-6.244774952,3,Done,pyrene_theta=25_a=8.2_b=7.1.log
8.6,7.2,25,-6.235046664,-6.235046664,3,Done,pyrene_theta=25_a=8.6_b=7.2.log
8.6,7.3,25,-6.201587831,-6.201587831,3,Done,pyrene_theta=25_a=8.6_b=7.3.log
8.6,7.4,25,-6.159077166,-6.159077166,3,Done,pyrene_theta=25_a=8.6_b=7.4.log
8.7,7.2,25,-6.110696773,-6.110696773,3,Done,pyrene_theta=25_a=8.7_b=7.2.log
8.7,7.3,25,-6.064453051,-6.064453051,3,Done,pyrene_theta=25_a=8.7_b=7.3.log
8.7,7.4,25,-6.010918917,-6.010918917,3,Done,pyrene_theta=25_a=8.7_b=7.4.log
6.9,10.8,25,-4.979825861,-4.979825861,3,Done,pyrene_theta=25_a=6.9_b=10.8.log
6.8,10.8,25,-4.94023249,-4.94023249,3,Done,pyrene_theta=25_a=6.8_b=10.8.log
6.9,10.9,25,-4.913525037,-4.913525037,3,Done,pyrene_theta=25_a=6.9_b=10.9.log
6.8,10.9,25,-4.890910204,-4.890910204,3,Done,pyrene_theta=25_a=6.8_b=10.9.log
6.7,10.8,25,-4.849406692,-4.849406692,3,Done,pyrene_theta=25_a=6.7_b=10.8.log
6.9,11,25,-4.84326588,-4.84326588,3,Done,pyrene_theta=25_a=6.9_b=11.0.log
6.8,11,25,-4.836085283,-4.836085283,3,Done,pyrene_theta=25_a=6.8_b=11.0.log
6.7,10.9,25,-4.821644395,-4.821644395,3,Done,pyrene_theta=25_a=6.7_b=10.9.log
6.7,11,25,-4.786610512,-4.786610512,3,Done,pyrene_theta=25_a=6.7_b=11.0.log
6.8,11.1,25,-4.77630115,-4.77630115,3,Done,pyrene_theta=25_a=6.8_b=11.1.log
6.9,11.1,25,-4.769516512,-4.769516512,3,Done,pyrene_theta=25_a=6.9_b=11.1.log
6.7,11.1,25,-4.744911217,-4.744911217,3,Done,pyrene_theta=25_a=6.7_b=11.1.log
6.8,11.2,25,-4.712033458,-4.712033458,3,Done,pyrene_theta=25_a=6.8_b=11.2.log
6.7,11.2,25,-4.697097465,-4.697097465,3,Done,pyrene_theta=25_a=6.7_b=11.2.log
6.6,11,25,-4.685451507,-4.685451507,3,Done,pyrene_theta=25_a=6.6_b=11.0.log
6.6,11.1,25,-4.666548396,-4.666548396,3,Done,pyrene_theta=25_a=6.6_b=11.1.log
6.8,11.3,25,-4.6437177,-4.6437177,3,Done,pyrene_theta=25_a=6.8_b=11.3.log
6.7,11.3,25,-4.643677539,-4.643677539,3,Done,pyrene_theta=25_a=6.7_b=11.3.log
6.6,11.2,25,-4.639665868,-4.639665868,3,Done,pyrene_theta=25_a=6.6_b=11.2.log
6.6,11.3,25,-4.605373701,-4.605373701,3,Done,pyrene_theta=25_a=6.6_b=11.3.log
6.7,11.4,25,-4.585117051,-4.585117051,3,Done,pyrene_theta=25_a=6.7_b=11.4.log
6.6,11.4,25,-4.564187082,-4.564187082,3,Done,pyrene_theta=25_a=6.6_b=11.4.log
6.5,11.2,25,-4.53044085,-4.53044085,3,Done,pyrene_theta=25_a=6.5_b=11.2.log
6.7,11.5,25,-4.521860278,-4.521860278,3,Done,pyrene_theta=25_a=6.7_b=11.5.log
6.5,11.3,25,-4.520111408,-4.520111408,3,Done,pyrene_theta=25_a=6.5_b=11.3.log
6.6,11.5,25,-4.516628727,-4.516628727,3,Done,pyrene_theta=25_a=6.6_b=11.5.log
6.5,11.4,25,-4.500906464,-4.500906464,3,Done,pyrene_theta=25_a=6.5_b=11.4.log
6.5,11.5,25,-4.473378228,-4.473378228,3,Done,pyrene_theta=25_a=6.5_b=11.5.log
6.6,11.6,25,-4.463180563,-4.463180563,3,Done,pyrene_theta=25_a=6.6_b=11.6.log
6.7,11.6,25,-4.454352125,-4.454352125,3,Done,pyrene_theta=25_a=6.7_b=11.6.log
6.5,11.6,25,-4.438087693,-4.438087693,3,Done,pyrene_theta=25_a=6.5_b=11.6.log
6.6,11.7,25,-4.404358403,-4.404358403,3,Done,pyrene_theta=25_a=6.6_b=11.7.log
6.5,11.7,25,-4.395590206,-4.395590206,3,Done,pyrene_theta=25_a=6.5_b=11.7.log
6.4,11.5,25,-4.383599745,-4.383599745,3,Done,pyrene_theta=25_a=6.4_b=11.5.log
6.4,11.6,25,-4.371168771,-4.371168771,3,Done,pyrene_theta=25_a=6.4_b=11.6.log
6.4,11.7,25,-4.349434335,-4.349434335,3,Done,pyrene_theta=25_a=6.4_b=11.7.log
6.5,11.8,25,-4.346458683,-4.346458683,3,Done,pyrene_theta=25_a=6.5_b=11.8.log
6.4,11.8,25,-4.319018925,-4.319018925,3,Done,pyrene_theta=25_a=6.4_b=11.8.log
6.5,11.9,25,-4.291271688,-4.291271688,3,Done,pyrene_theta=25_a=6.5_b=11.9.log
6.4,11.9,25,-4.280559465,-4.280559465,3,Done,pyrene_theta=25_a=6.4_b=11.9.log
6.3,11.7,25,-4.257644682,-4.257644682,3,Done,pyrene_theta=25_a=6.3_b=11.7.log
6.3,11.6,25,-4.253571515,-4.253571515,3,Done,pyrene_theta=25_a=6.3_b=11.6.log
6.3,11.8,25,-4.250725757,-4.250725757,3,Done,pyrene_theta=25_a=6.3_b=11.8.log
6.4,12,25,-4.234738685,-4.234738685,3,Done,pyrene_theta=25_a=6.4_b=12.0.log
6.3,11.9,25,-4.233495587,-4.233495587,3,Done,pyrene_theta=25_a=6.3_b=11.9.log
6.5,12,25,-4.230624102,-4.230624102,3,Done,pyrene_theta=25_a=6.5_b=12.0.log
6.3,12,25,-4.20668585,-4.20668585,3,Done,pyrene_theta=25_a=6.3_b=12.0.log
6.4,12.1,25,-4.182248101,-4.182248101,3,Done,pyrene_theta=25_a=6.4_b=12.1.log
6.3,12.1,25,-4.171078423,-4.171078423,3,Done,pyrene_theta=25_a=6.3_b=12.1.log
6.5,12.1,25,-4.165129,-4.165129,3,Done,pyrene_theta=25_a=6.5_b=12.1.log
6.2,11.9,25,-4.142241201,-4.142241201,3,Done,pyrene_theta=25_a=6.2_b=11.9.log
6.2,12,25,-4.139244213,-4.139244213,3,Done,pyrene_theta=25_a=6.2_b=12.0.log
6.2,11.8,25,-4.133159249,-4.133159249,3,Done,pyrene_theta=25_a=6.2_b=11.8.log
3.9,15.2,25,-2.416283731,-2.416283731,3,Done,pyrene_theta=25_a=3.9_b=15.2.log
3.9,15.3,25,-2.403728511,-2.403728511,3,Done,pyrene_theta=25_a=3.9_b=15.3.log
3.9,15.4,25,-2.374911369,-2.374911369,3,Done,pyrene_theta=25_a=3.9_b=15.4.log
3.8,15.3,25,-2.34767869,-2.34767869,3,Done,pyrene_theta=25_a=3.8_b=15.3.log
3.8,15.2,25,-2.34156486,-2.34156486,3,Done,pyrene_theta=25_a=3.8_b=15.2.log
3.8,15.4,25,-2.334706803,-2.334706803,3,Done,pyrene_theta=25_a=3.8_b=15.4.log
3.9,15.5,25,-2.332624725,-2.332624725,3,Done,pyrene_theta=25_a=3.9_b=15.5.log
3.8,15.5,25,-2.305603517,-2.305603517,3,Done,pyrene_theta=25_a=3.8_b=15.5.log
3.7,15.4,25,-2.279744458,-2.279744458,3,Done,pyrene_theta=25_a=3.7_b=15.4.log
3.7,15.3,25,-2.274632133,-2.274632133,3,Done,pyrene_theta=25_a=3.7_b=15.3.log
3.7,15.5,25,-2.265949278,-2.265949278,3,Done,pyrene_theta=25_a=3.7_b=15.5.log
3.7,15.2,25,-2.247497346,-2.247497346,3,Done,pyrene_theta=25_a=3.7_b=15.2.log
6.8,10.7,25,0,0,3,InProgress,pyrene_theta=25_a=6.8_b=10.7.log
6.9,10.7,25,0,0,3,InProgress,pyrene_theta=25_a=6.9_b=10.7.log
7,10.7,25,0,0,3,InProgress,pyrene_theta=25_a=7.0_b=10.7.log
7,10.8,25,0,0,3,InProgress,pyrene_theta=25_a=7.0_b=10.8.log
7,10.9,25,0,0,3,InProgress,pyrene_theta=25_a=7.0_b=10.9.log
9.2,6.6,30,-5.773282763,-5.773282763,3,Done,pyrene_theta=30_a=9.2_b=6.6.log
9.1,6.6,30,-5.762274355,-5.762274355,3,Done,pyrene_theta=30_a=9.1_b=6.6.log
9.3,6.6,30,-5.739530255,-5.739530255,3,Done,pyrene_theta=30_a=9.3_b=6.6.log
9.2,6.5,30,-5.730048579,-5.730048579,3,Done,pyrene_theta=30_a=9.2_b=6.5.log
9.3,6.5,30,-5.721724031,-5.721724031,3,Done,pyrene_theta=30_a=9.3_b=6.5.log
9.1,6.5,30,-5.688610956,-5.688610956,3,Done,pyrene_theta=30_a=9.1_b=6.5.log
9.3,6.4,30,-5.688444039,-5.688444039,3,Done,pyrene_theta=30_a=9.3_b=6.4.log
9.4,6.5,30,-5.672228553,-5.672228553,3,Done,pyrene_theta=30_a=9.4_b=6.5.log
9.4,6.6,30,-5.669055862,-5.669055862,3,Done,pyrene_theta=30_a=9.4_b=6.6.log
9.2,6.4,30,-5.66862288,-5.66862288,3,Done,pyrene_theta=30_a=9.2_b=6.4.log
9.4,6.4,30,-5.662379156,-5.662379156,3,Done,pyrene_theta=30_a=9.4_b=6.4.log
9.4,6.7,30,-5.654052726,-5.654052726,3,Done,pyrene_theta=30_a=9.4_b=6.7.log
9.5,6.4,30,-5.598556996,-5.598556996,3,Done,pyrene_theta=30_a=9.5_b=6.4.log
9.1,6.4,30,-5.593679988,-5.593679988,3,Done,pyrene_theta=30_a=9.1_b=6.4.log
9.5,6.5,30,-5.589225922,-5.589225922,3,Done,pyrene_theta=30_a=9.5_b=6.5.log
9.5,6.6,30,-5.569096657,-5.569096657,3,Done,pyrene_theta=30_a=9.5_b=6.6.log
9.5,6.7,30,-5.539279264,-5.539279264,3,Done,pyrene_theta=30_a=9.5_b=6.7.log
9.5,6.8,30,-5.500792821,-5.500792821,3,Done,pyrene_theta=30_a=9.5_b=6.8.log
9.6,6.5,30,-5.479579218,-5.479579218,3,Done,pyrene_theta=30_a=9.6_b=6.5.log
9.6,6.6,30,-5.446195686,-5.446195686,3,Done,pyrene_theta=30_a=9.6_b=6.6.log
9.6,6.7,30,-5.405011577,-5.405011577,3,Done,pyrene_theta=30_a=9.6_b=6.7.log
9.6,6.8,30,-5.3568916,-5.3568916,3,Done,pyrene_theta=30_a=9.6_b=6.8.log
9.7,6.6,30,-5.306046347,-5.306046347,3,Done,pyrene_theta=30_a=9.7_b=6.6.log
9.7,6.7,30,-5.256416581,-5.256416581,3,Done,pyrene_theta=30_a=9.7_b=6.7.log
9.7,6.8,30,-5.201255315,-5.201255315,3,Done,pyrene_theta=30_a=9.7_b=6.8.log
4.1,14.5,30,-2.647583289,-2.647583289,3,Done,pyrene_theta=30_a=4.1_b=14.5.log
4.1,14.6,30,-2.645355629,-2.645355629,3,Done,pyrene_theta=30_a=4.1_b=14.6.log
4.1,14.7,30,-2.624154576,-2.624154576,3,Done,pyrene_theta=30_a=4.1_b=14.7.log
4.1,14.8,30,-2.586775688,-2.586775688,3,Done,pyrene_theta=30_a=4.1_b=14.8.log
4,14.6,30,-2.574831663,-2.574831663,3,Done,pyrene_theta=30_a=4.0_b=14.6.log
4,14.7,30,-2.572336055,-2.572336055,3,Done,pyrene_theta=30_a=4.0_b=14.7.log
4,14.5,30,-2.555363792,-2.555363792,3,Done,pyrene_theta=30_a=4.0_b=14.5.log
4,14.8,30,-2.550749084,-2.550749084,3,Done,pyrene_theta=30_a=4.0_b=14.8.log
4.1,14.9,30,-2.536044642,-2.536044642,3,Done,pyrene_theta=30_a=4.1_b=14.9.log
4,14.9,30,-2.513027575,-2.513027575,3,Done,pyrene_theta=30_a=4.0_b=14.9.log
3.9,14.7,30,-2.502906466,-2.502906466,3,Done,pyrene_theta=30_a=3.9_b=14.7.log
3.9,14.8,30,-2.499605136,-2.499605136,3,Done,pyrene_theta=30_a=3.9_b=14.8.log
3.9,14.6,30,-2.48413325,-2.48413325,3,Done,pyrene_theta=30_a=3.9_b=14.6.log
3.9,14.9,30,-2.4772457,-2.4772457,3,Done,pyrene_theta=30_a=3.9_b=14.9.log
4.1,15,30,-2.474623336,-2.474623336,3,Done,pyrene_theta=30_a=4.1_b=15.0.log
4,15,30,-2.462078156,-2.462078156,3,Done,pyrene_theta=30_a=4.0_b=15.0.log
3.9,14.5,30,-2.440328659,-2.440328659,3,Done,pyrene_theta=30_a=3.9_b=14.5.log
3.9,15,30,-2.438908604,-2.438908604,3,Done,pyrene_theta=30_a=3.9_b=15.0.log
10.2,6,35,-5.109151279,-5.109151279,3,Done,pyrene_theta=35_a=10.2_b=6.0.log
