theta,A2,a,b,z,status
29.0,-6.0,8.1,5.8,0.0,NotYet
29.0,-4.0,8.1,5.8,0.0,NotYet
29.0,-2.0,8.0,5.9,0.0,NotYet
29.0,0.0,8.1,6.1,0.0,NotYet
30.0,-10.0,8.4,5.8,0.0,NotYet
30.0,-8.0,8.3,5.7,0.0,NotYet
30.0,-6.0,8.3,5.7,0.0,NotYet
30.0,-4.0,8.2,5.8,0.0,NotYet
30.0,-2.0,8.2,5.8,0.0,NotYet
30.0,0.0,8.2,6.0,0.0,NotYet
31.0,-10.0,8.6,5.7,0.0,NotYet
31.0,-8.0,8.4,5.7,0.0,NotYet
31.0,-6.0,8.3,5.7,0.0,NotYet
31.0,-4.0,8.3,5.7,0.0,NotYet
31.0,-2.0,8.2,5.8,0.0,NotYet
31.0,0.0,8.4,5.9,0.0,NotYet
32.0,-10.0,8.7,5.6,0.0,NotYet
32.0,-8.0,8.6,5.6,0.0,NotYet
32.0,-6.0,8.5,5.6,0.0,NotYet
32.0,-4.0,8.4,5.6,0.0,NotYet
32.0,-2.0,8.4,5.7,0.0,NotYet
32.0,0.0,8.4,5.9,0.0,NotYet
33.0,-10.0,8.9,5.5,0.0,NotYet
33.0,-8.0,8.7,5.5,0.0,NotYet
33.0,-6.0,8.6,5.6,0.0,NotYet
33.0,-4.0,8.5,5.6,0.0,NotYet
33.0,-2.0,8.5,5.6,0.0,NotYet
33.0,0.0,8.6,5.8,0.0,NotYet
34.0,-10.0,9.0,5.5,0.0,NotYet
34.0,-8.0,8.8,5.5,0.0,NotYet
34.0,-6.0,8.7,5.5,0.0,NotYet
34.0,-4.0,8.7,5.5,0.0,NotYet
34.0,-2.0,8.6,5.6,0.0,NotYet
34.0,0.0,8.7,5.7,0.0,NotYet
35.0,-10.0,9.1,5.4,0.0,NotYet
35.0,-8.0,9.0,5.4,0.0,NotYet
35.0,-6.0,8.9,5.4,0.0,NotYet
35.0,-4.0,8.8,5.5,0.0,NotYet
35.0,-2.0,8.7,5.5,0.0,NotYet
35.0,0.0,8.9,5.6,0.0,NotYet
55.0,-10.0,5.4,9.1,0.0,NotYet
55.0,-8.0,5.3,9.0,0.0,NotYet
55.0,-6.0,5.3,8.9,0.0,NotYet
55.0,-4.0,5.4,8.8,0.0,NotYet
55.0,-2.0,5.4,8.8,0.0,NotYet
55.0,0.0,5.5,8.9,0.0,NotYet
56.0,-10.0,5.4,9.0,0.0,NotYet
56.0,-8.0,5.4,8.9,0.0,NotYet
56.0,-6.0,5.4,8.8,0.0,NotYet
56.0,-4.0,5.4,8.7,0.0,NotYet
56.0,-2.0,5.5,8.6,0.0,NotYet
56.0,0.0,5.6,8.8,0.0,NotYet
57.0,-10.0,5.5,8.8,0.0,NotYet
57.0,-8.0,5.5,8.7,0.0,NotYet
57.0,-6.0,5.5,8.6,0.0,NotYet
57.0,-4.0,5.5,8.6,0.0,NotYet
57.0,-2.0,5.6,8.5,0.0,NotYet
57.0,0.0,5.7,8.6,0.0,NotYet
58.0,-10.0,5.6,8.7,0.0,NotYet
58.0,-8.0,5.6,8.6,0.0,NotYet
58.0,-6.0,5.6,8.5,0.0,NotYet
58.0,-4.0,5.6,8.4,0.0,NotYet
58.0,-2.0,5.6,8.4,0.0,NotYet
58.0,0.0,5.8,8.5,0.0,NotYet
59.0,-10.0,5.6,8.6,0.0,NotYet
59.0,-8.0,5.6,8.5,0.0,NotYet
59.0,-6.0,5.6,8.4,0.0,NotYet
59.0,-4.0,5.6,8.4,0.0,NotYet
59.0,-2.0,5.7,8.3,0.0,NotYet
59.0,0.0,5.9,8.4,0.0,NotYet
60.0,-10.0,5.7,8.5,0.0,NotYet
60.0,-8.0,5.7,8.4,0.0,NotYet
60.0,-6.0,5.7,8.3,0.0,NotYet
60.0,-4.0,5.7,8.2,0.0,NotYet
60.0,-2.0,5.8,8.2,0.0,NotYet
60.0,0.0,5.9,8.3,0.0,NotYet
61.0,-10.0,5.8,8.3,0.0,NotYet
61.0,-8.0,5.8,8.2,0.0,NotYet
61.0,-6.0,5.8,8.2,0.0,NotYet
61.0,-4.0,5.8,8.1,0.0,NotYet
61.0,-2.0,5.8,8.1,0.0,NotYet
61.0,0.0,6.0,8.2,0.0,NotYet
62.0,-10.0,5.9,8.2,0.0,NotYet
62.0,-8.0,5.8,8.2,0.0,NotYet
62.0,-6.0,5.8,8.1,0.0,NotYet
62.0,-4.0,5.9,8.0,0.0,NotYet
62.0,-2.0,5.9,8.0,0.0,NotYet
62.0,0.0,6.1,8.1,0.0,NotYet
63.0,-10.0,6.0,8.1,0.0,NotYet
63.0,-8.0,5.9,8.0,0.0,NotYet
63.0,-6.0,5.9,8.0,0.0,NotYet
63.0,-4.0,5.9,7.9,0.0,NotYet
63.0,-2.0,6.0,7.9,0.0,NotYet
63.0,0.0,6.2,7.9,0.0,NotYet
64.0,-10.0,6.0,8.0,0.0,NotYet
