cx,cy,cz,a,b,theta,A1,A2,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-2.7,4.1,7.5,5.9,8,73,-13,29,-4.14364086187561,-0.9677308617392556,-0.7399491242831573,-0.0421046658884733,-0.906409957096912,-0.9797708961414172,-0.0364595860010013,-0.1404844287899322,-1.8073266916035209,-0.3146780672541354,-0.0449391286529134,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.7_cy=4.1_cz=7.5.log
-2.7,4.1,7.6,5.9,8,73,-13,29,-4.030996541812783,-0.9607504405430518,-0.6779862769180909,-0.04069778858684,-0.840565332735423,-0.9101969799376092,-0.0347333060344681,-0.1337788569217082,-1.8265605005726684,-0.2952346699021291,-0.0429574520385358,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.7_cy=4.1_cz=7.6.log
-2.6,4.1,7.5,5.9,8,73,-13,29,-4.122189432557207,-0.9129228833480738,-0.6989689562469721,-0.0444076277199201,-0.914027928491123,-0.949802273476962,-0.0381287626805715,-0.1401574960327707,-1.8210484527808148,-0.3352880056772847,-0.046566262084525,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.6_cy=4.1_cz=7.5.log
-2.6,4.1,7.6,5.9,8,73,-13,29,-4.018742212734651,-0.9334280276088976,-0.6402478255331516,-0.0428802684182301,-0.8531487907748669,-0.8803827247465961,-0.0363077285583131,-0.13346761194407,-1.833493858546717,-0.3140794226783328,-0.0445036367455031,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.6_cy=4.1_cz=7.6.log
-2.6,4.1,7.7,5.9,8,73,-13,29,-3.854574615135789,-0.9212148004444316,-0.5849328189506195,-0.0413999722222797,-0.7924497484927997,-0.8100670917192474,-0.0345494455541484,-0.1269728833867702,-1.7982974501501303,-0.2944942080939654,-0.0425031348131597,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.6_cy=4.1_cz=7.7.log
-2.5,4.2,7.5,5.9,8,73,-13,29,-3.9758104885404464,-0.8588051658589393,-0.6305885640904307,-0.0445161869283765,-0.9101561917923392,-0.8692488148226403,-0.0398111169924959,-0.1317563921329565,-1.7605520961806178,-0.3602854939817916,-0.0466534860024694,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.5_cy=4.2_cz=7.5.log
-2.5,4.2,7.6,5.9,8,73,-13,29,-3.924348079541232,-0.8882548377732746,-0.5785284519079141,-0.0429536870215088,-0.8508621443179436,-0.8039720871020108,-0.0379229393438436,-0.125595499004703,-1.8161287742841523,-0.3367632816080004,-0.0446134509111288,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.5_cy=4.2_cz=7.6.log
-2.5,4.2,7.7,5.9,8,73,-13,29,-3.795735512539977,-0.8837957516661845,-0.5295123907853849,-0.0414388778735883,-0.7915084835258313,-0.7382215893012471,-0.036096885218285,-0.1196178387035615,-1.8081261392799208,-0.3150715160008985,-0.0426330293703358,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.5_cy=4.2_cz=7.7.log
-2.4,4.2,7.6,5.9,8,73,-13,29,-3.912904179887846,-0.8462656335323118,-0.5441446689656004,-0.0452886517741717,-0.8508169635897502,-0.7733295188518241,-0.0396504743257537,-0.1251267490442842,-1.833298075507628,-0.3585755292733665,-0.0461558705428615,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.4_cy=4.2_cz=7.6.log
-2.4,4.2,7.7,5.9,8,73,-13,29,-3.789749066956574,-0.865081520867534,-0.4981745413388125,-0.0436539881047792,-0.7973800945328549,-0.7095732477027923,-0.0377233911422081,-0.1191710515995509,-1.8156788496125955,-0.3350075086345896,-0.0440982652653474,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.4_cy=4.2_cz=7.7.log
-2.4,4.2,7.8,5.9,8,73,-13,29,-3.615661164134508,-0.8504781082156114,-0.4550696244696155,-0.0420701529365032,-0.7430678490782157,-0.6477528450777754,-0.035865961574018,-0.1134123923256993,-1.75967358215712,-0.3133176255214493,-0.0421052934543695,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.4_cy=4.2_cz=7.8.log
-2.3,4.3,7.6,5.9,8,73,-13,29,-3.8270768134389073,-0.8145500231767073,-0.4893868913641199,-0.0452691989485174,-0.8510234144050628,-0.7009675755398348,-0.0413529090001247,-0.1177051883132662,-1.8069093974190764,-0.3850470386387314,-0.0461401828506495,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.3_cy=4.3_cz=7.6.log
-2.3,4.3,7.7,5.9,8,73,-13,29,-3.736634738306748,-0.835316839045845,-0.4490154079976491,-0.0436132000177167,-0.7976028606062755,-0.6419715954689309,-0.0393555446644313,-0.112248361314414,-1.817796068440657,-0.3590423966816161,-0.0441101879696361,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.3_cy=4.3_cz=7.7.log
-2.3,4.3,7.8,5.9,8,73,-13,29,-3.583591324306326,-0.8225476380903274,-0.4112248732708394,-0.0420067744562402,-0.7432454343652353,-0.5849403491010889,-0.0374272064073011,-0.1069565694488119,-1.778695920278551,-0.3350997526722494,-0.0421429440611973,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.3_cy=4.3_cz=7.8.log
-2.2,4.4,7.7,5.9,8,73,-13,29,-3.682558436499676,-0.8146315994672477,-0.4048512541921809,-0.043465107679367,-0.7989118464756757,-0.5777340242057107,-0.0410002483986318,-0.1057523778290487,-1.807438388321316,-0.385023193230154,-0.0440474369097501,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.2_cy=4.4_cz=7.7.log
-2.2,4.4,7.8,5.9,8,73,-13,29,-3.550554177898448,-0.7998876245110296,-0.3716722904937342,-0.041844249353744,-0.7436533158179373,-0.5253457244834863,-0.0390041390783153,-0.1008496421272866,-1.7883093735435978,-0.358582431828836,-0.0421090585296042,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.2_cy=4.4_cz=7.8.log
-2.2,4.4,7.9,5.9,8,73,-13,29,-3.3713925428746734,-0.7608734453096986,-0.3405885826214216,-0.04027296428103,-0.6878777170204557,-0.4760171633097343,-0.0370776833733543,-0.0960887238034047,-1.7293711242673453,-0.3343486231460701,-0.0402302937000058,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.2_cy=4.4_cz=7.9.log
-2.1,4.4,7.6,5.9,8,73,-13,29,-3.767512309044832,-0.7609970647026785,-0.4129530357895419,-0.0475520803011022,-0.8500332036637701,-0.6030553077580407,-0.0450401577400043,-0.1101644006266724,-1.808795692428248,-0.4412173411983531,-0.0475194498139899,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.1_cy=4.4_cz=7.6.log
-2.1,4.4,7.7,5.9,8,73,-13,29,-3.701372127368813,-0.7974880262627266,-0.3801587357302196,-0.0457574016763828,-0.8012769317138009,-0.5507887449348345,-0.0428557954146526,-0.1051512231351807,-1.8316703144228088,-0.4099359677056782,-0.0454518042388372,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.1_cy=4.4_cz=7.7.log
-2.1,4.4,7.8,5.9,8,73,-13,29,-3.564230758289341,-0.7971899589756504,-0.349374977638945,-0.0440242190379649,-0.7507755543920211,-0.5005433916230686,-0.0407492443337105,-0.1002704504062421,-1.797990597813623,-0.3811972647672519,-0.0434437723015435,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.1_cy=4.4_cz=7.8.log
-2.0,4.5,7.7,5.9,8,73,-13,29,-3.6703364241984673,-0.7923022836330347,-0.3435479197069071,-0.0454819247825071,-0.8070989694679156,-0.4912349083460867,-0.0445814480190165,-0.0989733872120268,-1.823414165381109,-0.4405615932773798,-0.0452635513502173,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.0_cy=4.5_cz=7.7.log
-2.0,4.5,7.8,5.9,8,73,-13,29,-3.54666518488375,-0.7838842369674239,-0.3168210138683207,-0.0437217593425884,-0.7538603935390711,-0.4461031341925263,-0.0424014782183803,-0.0944641003443393,-1.806751892436296,-0.4087606415851041,-0.0432925424538552,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.0_cy=4.5_cz=7.8.log
-2.0,4.5,7.9,5.9,8,73,-13,29,-3.372186342865461,-0.7493335363105871,-0.2917168487911112,-0.0420381499570794,-0.6995236751390621,-0.404423919855617,-0.0402999472571536,-0.0900872181227896,-1.7473894463619215,-0.3796617477491963,-0.0413798919762484,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.0_cy=4.5_cz=7.9.log
-1.9,4.5,7.7,5.9,8,73,-13,29,-3.703934250836028,-0.7817544681020081,-0.3234788950067013,-0.0479260761640034,-0.8090963337454014,-0.4660428918432444,-0.0466083051869645,-0.0982787336688488,-1.85240261736908,-0.4691578514757566,-0.0466415632981807,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.9_cy=4.5_cz=7.7.log
-1.9,4.5,7.8,5.9,8,73,-13,29,-3.5696838201547507,-0.7845688504166901,-0.2986156937549822,-0.0460071506677195,-0.7601317284279503,-0.4234443755121901,-0.0443109911866486,-0.0937964296899735,-1.81795106336358,-0.4347941488376818,-0.0446027832804247,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.9_cy=4.5_cz=7.8.log
-1.9,4.5,7.9,5.9,8,73,-13,29,-3.388200711720856,-0.7575049715233035,-0.2752108257263899,-0.0441748214652761,-0.7092337648500688,-0.3842099402099848,-0.0420939982868731,-0.0894477854308206,-1.746647729538381,-0.4032655364426318,-0.0426254992780741,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.9_cy=4.5_cz=7.9.log
-1.8,4.6,7.7,5.9,8,73,-13,29,-3.7000418062962126,-0.7917337595717981,-0.2935221950756386,-0.0475928683881647,-0.8193956553586759,-0.4129417406511493,-0.0484042389434762,-0.0924573234224226,-1.849814138608053,-0.5046504446072504,-0.0463246706640347,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.8_cy=4.6_cz=7.7.log
-1.8,4.6,7.8,5.9,8,73,-13,29,-3.5697889282600954,-0.780378966126591,-0.2716842195950448,-0.0456300171208567,-0.7658276367001235,-0.3754191527259536,-0.0460347611224278,-0.0883339552092365,-1.827830580848968,-0.4668065715522971,-0.0443304439540952,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.8_cy=4.6_cz=7.8.log
-1.8,4.6,7.9,5.9,8,73,-13,29,-3.3888806188188028,-0.7438886321033351,-0.2511495823273435,-0.0437631749082356,-0.7110215408611111,-0.340977638727054,-0.0437468596501275,-0.0843298138643149,-1.762831212428864,-0.4320519301691092,-0.0423939480679109,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.8_cy=4.6_cz=7.9.log
-1.7,4.6,7.7,5.9,8,73,-13,29,-3.746680545897106,-0.7916440257104114,-0.2768756098230369,-0.0501926424331031,-0.8244609161047265,-0.3904586847929749,-0.0506067990208976,-0.0916967812809161,-1.877595888858196,-0.5376028772152495,-0.0476656596001703,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.7_cy=4.6_cz=7.7.log
-1.7,4.6,7.8,5.9,8,73,-13,29,-3.6009291119407862,-0.7871918421587907,-0.2566854755277745,-0.0480823262478224,-0.774046762729995,-0.3554279390955344,-0.0481074265553616,-0.0876066710916347,-1.83634526404785,-0.4965988637995906,-0.0456074268440716,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.7_cy=4.6_cz=7.8.log
-1.7,4.6,7.9,5.9,8,73,-13,29,-3.409474555781344,-0.7550733703537844,-0.237701415491756,-0.0460523313377052,-0.7217105462332256,-0.3231990254716947,-0.0456971607054583,-0.0836376702936831,-1.758550339291105,-0.4589608139649499,-0.0436088074347935,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.7_cy=4.6_cz=7.9.log
-1.6,4.7,7.7,5.9,8,73,-13,29,-3.766907389392145,-0.8107837081770413,-0.2529530461179092,-0.0497100871871225,-0.836574996705167,-0.3443762329989113,-0.0524692485923878,-0.0862700747675262,-1.8804416467028204,-0.5795431356236804,-0.0472188724088482,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.6_cy=4.7_cz=7.7.log
-1.6,4.7,7.8,5.9,8,73,-13,29,-3.6161230114812497,-0.7878689254866913,-0.2351669025956653,-0.0476003985386341,-0.7800915664993227,-0.3140787951997481,-0.0498958301614038,-0.0825137999781873,-1.8468177783943247,-0.534228755888762,-0.045211467979243,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.6_cy=4.7_cz=7.8.log
-1.6,4.7,7.9,5.9,8,73,-13,29,-3.418837946432177,-0.7437876029871404,-0.2183333193534054,-0.0455616185790859,-0.722698874422349,-0.2858163723140023,-0.0474121455918066,-0.0788579266809392,-1.7721936616871972,-0.4927208520530257,-0.0432605393871199,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.6_cy=4.7_cz=7.9.log
-1.5,4.7,7.6,5.9,8,73,-13,29,-3.923765436571557,-0.8108470866573043,-0.2568021924817003,-0.0547144794254563,-0.8992751683690585,-0.3557366739842109,-0.05766691401368,-0.0892934179573785,-1.8951818565547,-0.6711282200703863,-0.0506406845233868,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.5_cy=4.7_cz=7.6.log
-1.5,4.7,7.7,5.9,8,73,-13,29,-3.821412907942431,-0.8211194253526628,-0.2392915259115398,-0.0523694745497778,-0.8463804678758606,-0.3250746529083699,-0.0548581791808828,-0.0854718820482958,-1.900532634346746,-0.6173455929965712,-0.0485159356612712,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.5_cy=4.7_cz=7.7.log
-1.5,4.7,7.8,5.9,8,73,-13,29,-3.651742989197373,-0.8007322530029342,-0.2226819636416621,-0.0501248713117092,-0.7916095125838183,-0.2968862762209028,-0.0521441985038109,-0.0817520028213039,-1.848044560436392,-0.5684092256997246,-0.0464476626075338,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.5_cy=4.7_cz=7.8.log
-1.4,4.7,7.6,5.9,8,73,-13,29,-3.994083893529023,-0.8228657857107464,-0.2427296531386673,-0.0577855134033598,-0.906576874665916,-0.335061474586837,-0.0603300663642585,-0.0884086288860999,-1.9257390835846309,-0.7152465656981803,-0.0520149314252194,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.4_cy=4.7_cz=7.6.log
-1.4,4.7,7.7,5.9,8,73,-13,29,-3.867095008317847,-0.8348411865299568,-0.2264325908618047,-0.0551907594781369,-0.855759232363198,-0.3066754321334883,-0.0573669641744345,-0.0846247435547411,-1.907339235331165,-0.6571705151291098,-0.0498274315323215,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.4_cy=4.7_cz=7.7.log
-1.4,4.7,7.8,5.9,8,73,-13,29,-3.680685319151962,-0.81537519878475,-0.2109588218736462,-0.052761668281164,-0.8025369716924615,-0.280363310361281,-0.0545055185793899,-0.0809418874268885,-1.839548075018684,-0.6042463217745535,-0.0476982901454903,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.4_cy=4.7_cz=7.8.log
-1.3,4.8,7.6,5.9,8,73,-13,29,-4.055228781799087,-0.8741019772132859,-0.222583444614429,-0.057224519434385,-0.9292751664179376,-0.2940235755522735,-0.0624058695393614,-0.0830848340701777,-1.9274126528180204,-0.773618173378054,-0.0513058451469987,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.3_cy=4.8_cz=7.6.log
-1.3,4.8,7.7,5.9,8,73,-13,29,-3.910652360122185,-0.8568529823096469,-0.2081726774340495,-0.0545613670255988,-0.8691979865543544,-0.2696090439567342,-0.059363073494751,-0.0796015259984415,-1.9131399377656635,-0.7098487246839795,-0.0491836062865331,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.3_cy=4.8_cz=7.7.log
-1.3,4.8,7.8,5.9,8,73,-13,29,-3.708135430380935,-0.816078637551982,-0.1944584464072249,-0.0520676422165706,-0.8080615697544999,-0.2465461689280346,-0.0564231891185045,-0.0761947742721531,-1.846964615775505,-0.6510422524879687,-0.0471159608568996,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.3_cy=4.8_cz=7.8.log
-1.2,4.8,7.5,5.9,8,73,-13,29,-4.221835196687607,-0.8858903800719418,-0.2252334192744456,-0.0635962560190819,-1.00105101527879,-0.3010472949245013,-0.0686157085001468,-0.0857009232568088,-1.9116025382827504,-0.8969596564129461,-0.0548550417006481,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.2_cy=4.8_cz=7.5.log
-1.2,4.8,7.6,5.9,8,73,-13,29,-4.12867757215281,-0.8960447469144128,-0.211112561810296,-0.0605616176035255,-0.9432793071027844,-0.2766359010129235,-0.0652873953804373,-0.0821787096501793,-1.9437950563442428,-0.8236231901973952,-0.0526198510488029,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.2_cy=4.8_cz=7.6.log
-1.2,4.8,7.7,5.9,8,73,-13,29,-3.958194713995909,-0.8763785834307782,-0.1976110566174611,-0.0576531087281182,-0.8835422376869246,-0.2538880359788891,-0.0620732892421074,-0.0787299146468285,-1.9079071318847127,-0.7555458853603341,-0.0504386262618936,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.2_cy=4.8_cz=7.7.log
-1.1,4.9,7.5,5.9,8,73,-13,29,-4.304790136084193,-0.9535202702973038,-0.2068982046912424,-0.0629003473441116,-1.02081005013315,-0.2632040494354442,-0.0708270536269992,-0.0804599597177002,-1.9116395613818893,-0.9696799077792092,-0.0539307194412685,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.1_cy=4.9_cz=7.5.log
-1.1,4.9,7.6,5.9,8,73,-13,29,-4.18641790485708,-0.929165979672689,-0.1942996863508597,-0.0598719841218553,-0.953225968114566,-0.2422420778893865,-0.067415281839203,-0.0772088303929194,-1.9445888565096536,-0.8897376438544597,-0.0517720851057674,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.1_cy=4.9_cz=7.6.log
-1.1,4.9,7.7,5.9,8,73,-13,29,-3.995269887323957,-0.8835378450457938,-0.1822734572342597,-0.056955317617394,-0.8852484372910112,-0.2222834948333911,-0.0641183443367481,-0.0740235896082595,-1.9086783416860271,-0.8156958564068191,-0.0496636514435522,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.1_cy=4.9_cz=7.7.log
-1.0,4.9,7.5,5.9,8,73,-13,29,-4.410079725392279,-0.9830534009379336,-0.1962782254558988,-0.066555593162775,-1.0388666504004505,-0.2470557070919312,-0.0741522291791625,-0.0795017519849352,-1.941813379758969,-1.0305496328219306,-0.0552340577123686,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.0_cy=4.9_cz=7.5.log
-1.0,4.9,7.6,5.9,8,73,-13,29,-4.255065929959528,-0.953040852677077,-0.1845111578586511,-0.0633025812567211,-0.9704555101925508,-0.227454177220352,-0.0705434191622771,-0.0762863906857092,-1.9454303473758048,-0.9456757678126452,-0.0530195749015547,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.0_cy=4.9_cz=7.6.log
-1.0,4.9,7.7,5.9,8,73,-13,29,-4.038468617131002,-0.9030465034302324,-0.1732498634373769,-0.0602020543883554,-0.9014996912446804,-0.20884474075865,-0.0670550911454483,-0.0731381730292923,-1.8909285939007527,-0.8665975850308314,-0.0508552929677534,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-1.0_cy=4.9_cz=7.7.log
-0.9,4.9,7.5,5.9,8,73,-13,29,-4.502401192759862,-1.0147119079483673,-0.1863409770303405,-0.070591737399809,-1.0573185819084756,-0.231712460052222,-0.0776537350611761,-0.0785046385426539,-1.9553970887500327,-1.0927923497802112,-0.0565424159867689,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-0.9_cy=4.9_cz=7.5.log
-0.9,4.9,7.6,5.9,8,73,-13,29,-4.314925991435302,-0.977654304879252,-0.1753400992020033,-0.0669415118172764,-0.9877779236994684,-0.2133364572655409,-0.0738397291861474,-0.0753281828947365,-1.93438742638682,-1.003495166747598,-0.0542702023813035,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-0.9_cy=4.9_cz=7.6.log
-0.9,4.9,7.7,5.9,8,73,-13,29,-4.075896137219388,-0.9223731839447282,-0.1647929111495614,-0.0635956284240819,-0.9175921852583996,-0.1961483308114111,-0.0701556179556064,-0.072218243352836,-1.864790292311227,-0.9195073457958642,-0.0520513269875664,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-0.9_cy=4.9_cz=7.7.log
-0.8,4.9,7.4,5.9,8,73,-13,29,-4.733449433406349,-1.0699014124111272,-0.1878231556620448,-0.0794327257899567,-1.1458389075705782,-0.2350752861239016,-0.0855095326551236,-0.0806701756373513,-1.936662150110351,-1.2540931676630862,-0.0602334298891946,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-0.8_cy=4.9_cz=7.4.log
-0.8,4.9,7.5,5.9,8,73,-13,29,-4.584081973094726,-1.0472677542129532,-0.1770964997122064,-0.0750633737188763,-1.0760522654163651,-0.2170707691693678,-0.0813453762675635,-0.0774717571330256,-1.9557127262232823,-1.1560961860523091,-0.0578532844374422,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-0.8_cy=4.9_cz=7.5.log
-0.8,4.9,7.6,5.9,8,73,-13,29,-4.367539253493305,-1.0022100261994638,-0.1667714501963928,-0.0709713809774257,-1.0050168784800917,-0.1999510414316319,-0.0773155070492066,-0.0743354620644822,-1.913960093341302,-1.0626009611296467,-0.0555245947907678,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-0.8_cy=4.9_cz=7.6.log
-0.7,4.9,7.4,5.9,8,73,-13,29,-4.843724903272232,-1.1127979960292578,-0.178478276648093,-0.0846147033735178,-1.166768876137212,-0.220010653603822,-0.0896253707469441,-0.0795607378531713,-1.9538847895746585,-1.322529408382252,-0.061602029192727,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-0.7_cy=4.9_cz=7.4.log
-0.7,4.9,7.5,5.9,8,73,-13,29,-4.656713745585876,-1.0792343686916863,-0.1683690905920229,-0.0798914356273599,-1.0949365514097735,-0.2031325171119533,-0.085228408279363,-0.0764049900753889,-1.9452866475912745,-1.220459886739263,-0.0591660353238694,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-0.7_cy=4.9_cz=7.5.log
