a,b,theta,A1,A2,Rt,Rp,E,E_t1,E_t2,E_p1,E_p2,machine_type,status,file_name
7.2,6.1,25,-2.0,0.0,2.1,1.9,-54.312236734782346,-9.825312498607673,-10.499600859242491,-6.802322606788947,-6.860087412293068,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-2.0_A2=0.0_a=7.2_b=6.1_cx=0_cy=0_cz=0.log
7.3,5.9,25,-2.0,0.0,2.1,1.9,-55.386294146534055,-9.759797944687307,-10.417278449924195,-7.527444297447801,-7.504697059863247,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-2.0_A2=0.0_a=7.3_b=5.9_cx=0_cy=0_cz=0.log
7.3,6.0,25,-2.0,0.0,2.1,1.9,-54.883935995050706,-9.762720886210444,-10.461657211882994,-7.2033391473814845,-7.231840651482344,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-2.0_A2=0.0_a=7.3_b=6_cx=0_cy=0_cz=0.log
7.3,6.1,25,-2.0,0.0,2.1,1.9,-54.07751536462456,-9.739164788392374,-10.4683878843789,-6.802322606788947,-6.860087412293068,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=-2.0_A2=0.0_a=7.3_b=6.1_cx=0_cy=0_cz=0.log
7.2,5.8,25,0.0,0.0,2.1,1.9,-55.52075949893333,-9.701238711480984,-10.44276853336487,-7.616372504620812,-7.616372504620812,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=0.0_A2=0.0_a=7.2_b=5.8_cx=0_cy=0_cz=0.log
7.3,5.8,25,0.0,0.0,2.1,1.9,-55.823504208703525,-9.77489207033068,-10.52048752940027,-7.616372504620812,-7.616372504620812,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=0.0_A2=0.0_a=7.3_b=5.8_cx=0_cy=0_cz=0.log
7.4,5.8,25,0.0,0.0,2.1,1.9,-55.75975421257317,-9.760670811054297,-10.502833790611477,-7.616372504620812,-7.616372504620812,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=0.0_A2=0.0_a=7.4_b=5.8_cx=0_cy=0_cz=0.log
7.4,5.9,25,0.0,0.0,2.1,1.9,-55.61801978352014,-9.777225779835137,-10.527087052061688,-7.504697059863247,-7.504697059863247,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=0.0_A2=0.0_a=7.4_b=5.9_cx=0_cy=0_cz=0.log
7.4,6.0,25,0.0,0.0,2.1,1.9,-55.027619469794445,-9.76525100658182,-10.516718076833056,-7.231840651482344,-7.231840651482344,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=0.0_A2=0.0_a=7.4_b=6.0_cx=0_cy=0_cz=0.log
7.2,5.8,25,0.5,0.0,2.1,1.9,-55.337234159349464,-9.638009548827538,-10.431811581365764,-7.581219394342043,-7.616372504620812,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=0.5_A2=0.0_a=7.2_b=5.8_cx=0_cy=0_cz=0.log
7.3,5.8,25,0.5,0.0,2.1,1.9,-55.69515833305195,-9.735783136857206,-10.51300008018734,-7.581219394342043,-7.616372504620812,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=0.5_A2=0.0_a=7.3_b=5.8_cx=0_cy=0_cz=0.log
7.4,5.8,25,0.5,0.0,2.1,1.9,-55.676779820234515,-9.741364838380832,-10.498229122254996,-7.581219394342043,-7.616372504620812,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=0.5_A2=0.0_a=7.4_b=5.8_cx=0_cy=0_cz=0.log
7.4,5.9,25,0.5,0.0,2.1,1.9,-55.578073751879856,-9.76703815505607,-10.523300656641368,-7.492699068621732,-7.504697059863247,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=0.5_A2=0.0_a=7.4_b=5.9_cx=0_cy=0_cz=0.log
7.4,6.0,25,0.5,0.0,2.1,1.9,-55.01981826603878,-9.762947417388203,-10.513753092265686,-7.2345765952486545,-7.231840651482344,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=0.5_A2=0.0_a=7.4_b=6.0_cx=0_cy=0_cz=0.log
7.2,5.8,25,1.0,0.0,2.1,1.9,-55.032755012158304,-9.54360506183002,-10.39339039917104,-7.54239158553537,-7.616372504620812,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=1.0_A2=0.0_a=7.2_b=5.8_cx=0_cy=0_cz=0.log
7.3,5.8,25,1.0,0.0,2.1,1.9,-55.46713500423357,-9.671030380006414,-10.48315507703228,-7.54239158553537,-7.616372504620812,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=1.0_A2=0.0_a=7.3_b=5.8_cx=0_cy=0_cz=0.log
7.4,5.8,25,1.0,0.0,2.1,1.9,-55.512761256308295,-9.701298324856909,-10.475700258219147,-7.54239158553537,-7.616372504620812,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=1.0_A2=0.0_a=7.4_b=5.8_cx=0_cy=0_cz=0.log
7.4,5.9,25,1.0,0.0,2.1,1.9,-55.466320496052504,-9.73822728835512,-10.503577389928976,-7.478014079621063,-7.504697059863247,3,Done,tetracene_theta=25_Rt=2.1_Rp=1.9_A1=1.0_A2=0.0_a=7.4_b=5.9_cx=0_cy=0_cz=0.log
