a,b,theta,E,E_p1,E_p2,E_t1,machine_type,status,file_name
3.8,15.4,20,-19.828864194452763,-0.0056601404212415,-9.233006437309086,-0.3378827597480267,3,Done,DBTP_theta=20_a=3.8_b=15.4.log
3.8,15.6,20,-20.72568893525749,-0.0050891062710434,-9.233006437309086,-0.5623744620243087,3,Done,DBTP_theta=20_a=3.8_b=15.6.log
3.8,15.8,20,-21.333608073648065,-0.0045933732762932,-9.233006437309086,-0.7146021131193265,3,Done,DBTP_theta=20_a=3.8_b=15.8.log
8.1,7.3,25,-22.7108293697238,-0.5058797367382795,-0.1749372377526015,-5.337298855185509,3,Done,DBTP_theta=25_a=8.1_b=7.3.log
8.1,7.5,25,-23.46950151072815,-0.9483056624885648,-0.1749372377526015,-5.305753927561455,3,Done,DBTP_theta=25_a=8.1_b=7.5.log
8.1,7.7,25,-23.59458935353905,-1.1413340133149177,-0.1749372377526015,-5.240511712851003,3,Done,DBTP_theta=25_a=8.1_b=7.7.log
8.3,7.3,25,-22.27503622462973,-0.5058797367382795,-0.1432354326825589,-5.244201471447013,3,Done,DBTP_theta=25_a=8.3_b=7.3.log
8.3,7.7,25,-22.840949843171984,-1.1413340133149177,-0.1432354326825589,-5.067952737794258,3,Done,DBTP_theta=25_a=8.3_b=7.7.log
8.5,7.3,25,-21.48598005110398,-0.5058797367382795,-0.1171937675680965,-5.059958260622807,3,Done,DBTP_theta=25_a=8.5_b=7.3.log
8.5,7.5,25,-21.95120341470465,-0.9483056624885648,-0.1171937675680965,-4.955051138647832,3,Done,DBTP_theta=25_a=8.5_b=7.5.log
8.5,7.7,25,-21.84895693557337,-1.1413340133149177,-0.1171937675680965,-4.832975343451835,3,Done,DBTP_theta=25_a=8.5_b=7.7.log
3.6,15.0,25,-15.036984480451792,-0.007348142331466,-7.352446818724275,-0.0793486395850777,3,Done,DBTP_theta=25_a=3.6_b=15.0.log
3.6,15.2,25,-16.271585304290056,-0.0066390559077262,-7.352446818724275,-0.3883533887565136,3,Done,DBTP_theta=25_a=3.6_b=15.2.log
3.6,15.4,25,-17.136294084135443,-0.0059989956207573,-7.352446818724275,-0.6048506138613448,3,Done,DBTP_theta=25_a=3.6_b=15.4.log
3.8,15.0,25,-19.966313984245065,-0.007348142331466,-9.344973046565428,-0.3154179016128182,3,Done,DBTP_theta=25_a=3.8_b=15.0.log
3.8,15.4,25,-21.595693898852915,-0.0059989956207573,-9.344973046565428,-0.7234374536201358,3,Done,DBTP_theta=25_a=3.8_b=15.4.log
4.0,15.0,25,-20.84795298334211,-0.007348142331466,-9.383483335142955,-0.5165725070983171,3,Done,DBTP_theta=25_a=4.0_b=15.0.log
4.0,15.2,25,-21.58232793631032,-0.0066390559077262,-9.383483335142955,-0.7005207885522395,3,Done,DBTP_theta=25_a=4.0_b=15.2.log
4.0,15.4,25,-22.06746846670285,-0.0059989956207573,-9.383483335142955,-0.8221259512938559,3,Done,DBTP_theta=25_a=4.0_b=15.4.log
8.6,6.9,30,-23.60303563857451,-1.616039053304121,-0.1379392482340335,-5.023769758874551,3,Done,DBTP_theta=30_a=8.6_b=6.9.log
