a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,machine_type,status,file_name
5.8,8.4,61.5,5,-9,79.0,-52.41237114393152,-0.3974962095962837,-7.265323330298997,-9.208113115513695,-9.335252916556785,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.8_b=8.4_phi_r=79_cx=0_cy=0_cz=0.log
5.8,8.4,61.5,5,-9,80.0,-52.5859404085204,-0.3967933980748057,-7.273248781450093,-9.289708240539769,-9.333219784195537,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.8_b=8.4_phi_r=80_cx=0_cy=0_cz=0.log
5.8,8.4,61.5,5,-9,80.1,-52.60051119141281,-0.3967118217842653,-7.274083369644359,-9.296604575705716,-9.332855828572065,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.8_b=8.4_phi_r=80.1_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-9,79.0,-52.49424864910543,-0.4712913855910301,-7.094628060120158,-9.276869386201724,-9.404335492639802,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.9_b=8.2_phi_r=79_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-9,80.0,-52.71008698805235,-0.4704442470101639,-7.102032678085379,-9.387706477660686,-9.394860091269948,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.9_b=8.2_phi_r=80_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-9,80.1,-52.72812162549235,-0.4703501206822693,-7.102804515161552,-9.397213254123926,-9.393692922778428,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.9_b=8.2_phi_r=80.1_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-9,79.0,-52.44247907306999,-0.4325802936218679,-7.094628060120158,-9.28777550975792,-9.406255673035048,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.9_b=8.3_phi_r=79_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-9,80.1,-52.63901520520449,-0.4317206050036475,-7.102804515161552,-9.3818204337731,-9.403162048663944,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.9_b=8.3_phi_r=80.1_cx=0_cy=0_cz=0.log
5.9,8.4,61.5,5,-9,79.0,-52.18931643967517,-0.3974962095962837,-7.094628060120158,-9.244514970690943,-9.3580189794302,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.9_b=8.4_phi_r=79_cx=0_cy=0_cz=0.log
5.9,8.4,61.5,5,-9,80.0,-52.3405337985605,-0.3967933980748057,-7.102032678085379,-9.310428620898165,-9.3610122022219,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.9_b=8.4_phi_r=80_cx=0_cy=0_cz=0.log
