cx,cy,cz,theta1,theta2,a,b,z,status
1.5,-1.6,8.2,45,135,4.8,7.0,0.0,NotYet
-1.6,-1.5,8.2,45,135,4.8,7.0,0.0,NotYet
1.6,-1.5,8.2,45,135,4.8,7.0,0.0,NotYet
-1.7,-1.4,8.2,45,135,4.8,7.0,0.0,NotYet
1.7,-1.4,8.2,45,135,4.8,7.0,0.0,NotYet
-1.8,-1.3,8.2,45,135,4.8,7.0,0.0,NotYet
1.8,-1.3,8.2,45,135,4.8,7.0,0.0,NotYet
-1.9,-1.2,8.1,45,135,4.8,7.0,0.0,NotYet
1.9,-1.2,8.1,45,135,4.8,7.0,0.0,NotYet
-2.1,-1.1,8.1,45,135,4.8,7.0,0.0,NotYet
-2.0,-1.1,8.1,45,135,4.8,7.0,0.0,NotYet
2.0,-1.1,8.1,45,135,4.8,7.0,0.0,NotYet
2.1,-1.1,8.1,45,135,4.8,7.0,0.0,NotYet
-2.3,-1.0,8.1,45,135,4.8,7.0,0.0,NotYet
-2.2,-1.0,8.1,45,135,4.8,7.0,0.0,NotYet
2.2,-1.0,8.1,45,135,4.8,7.0,0.0,NotYet
2.3,-1.0,8.1,45,135,4.8,7.0,0.0,NotYet
-2.4,-0.9,8.1,45,135,4.8,7.0,0.0,NotYet
2.4,-0.9,8.1,45,135,4.8,7.0,0.0,NotYet
-2.4,1.1,8.0,45,135,4.8,7.0,0.0,NotYet
-2.3,1.1,8.0,45,135,4.8,7.0,0.0,NotYet
-2.2,1.1,8.1,45,135,4.8,7.0,0.0,NotYet
2.2,1.1,8.1,45,135,4.8,7.0,0.0,NotYet
2.3,1.1,8.0,45,135,4.8,7.0,0.0,NotYet
2.4,1.1,8.0,45,135,4.8,7.0,0.0,NotYet
-2.1,1.2,8.2,45,135,4.8,7.0,0.0,NotYet
-2.0,1.2,8.2,45,135,4.8,7.0,0.0,NotYet
-1.9,1.2,8.3,45,135,4.8,7.0,0.0,NotYet
1.9,1.2,8.3,45,135,4.8,7.0,0.0,NotYet
2.0,1.2,8.2,45,135,4.8,7.0,0.0,NotYet
2.1,1.2,8.2,45,135,4.8,7.0,0.0,NotYet
-1.8,1.3,8.3,45,135,4.8,7.0,0.0,NotYet
-1.7,1.3,8.4,45,135,4.8,7.0,0.0,NotYet
1.7,1.3,8.4,45,135,4.8,7.0,0.0,NotYet
1.8,1.3,8.3,45,135,4.8,7.0,0.0,NotYet
-1.6,1.4,8.4,45,135,4.8,7.0,0.0,NotYet
-1.5,1.4,8.4,45,135,4.8,7.0,0.0,NotYet
1.5,1.4,8.4,45,135,4.8,7.0,0.0,NotYet
1.6,1.4,8.4,45,135,4.8,7.0,0.0,NotYet
-1.4,1.5,8.4,45,135,4.8,7.0,0.0,NotYet
-1.3,1.5,8.4,45,135,4.8,7.0,0.0,NotYet
1.3,1.5,8.4,45,135,4.8,7.0,0.0,NotYet
1.4,1.5,8.4,45,135,4.8,7.0,0.0,NotYet
-1.2,1.6,8.4,45,135,4.8,7.0,0.0,NotYet
-1.1,1.6,8.4,45,135,4.8,7.0,0.0,NotYet
1.1,1.6,8.4,45,135,4.8,7.0,0.0,NotYet
1.2,1.6,8.4,45,135,4.8,7.0,0.0,NotYet
-1.0,1.7,8.4,45,135,4.8,7.0,0.0,NotYet
1.0,1.7,8.4,45,135,4.8,7.0,0.0,NotYet
-0.9,1.8,8.4,45,135,4.8,7.0,0.0,NotYet
-0.8,1.8,8.4,45,135,4.8,7.0,0.0,NotYet
0.8,1.8,8.4,45,135,4.8,7.0,0.0,NotYet
0.9,1.8,8.4,45,135,4.8,7.0,0.0,NotYet
-0.7,1.9,8.3,45,135,4.8,7.0,0.0,NotYet
0.7,1.9,8.3,45,135,4.8,7.0,0.0,NotYet
-0.6,2.0,8.3,45,135,4.8,7.0,0.0,NotYet
0.6,2.0,8.3,45,135,4.8,7.0,0.0,NotYet
-0.5,2.1,8.3,45,135,4.8,7.0,0.0,NotYet
0.5,2.1,8.3,45,135,4.8,7.0,0.0,NotYet
-0.4,2.2,8.2,45,135,4.8,7.0,0.0,NotYet
0.4,2.2,8.2,45,135,4.8,7.0,0.0,NotYet
-0.3,2.3,8.2,45,135,4.8,7.0,0.0,NotYet
0.3,2.3,8.2,45,135,4.8,7.0,0.0,NotYet
-0.2,2.5,8.1,45,135,4.8,7.0,0.0,NotYet
0.2,2.5,8.1,45,135,4.8,7.0,0.0,NotYet
-0.1,2.6,8.0,45,135,4.8,7.0,0.0,NotYet
0.1,2.6,8.0,45,135,4.8,7.0,0.0,NotYet
0.0,2.7,8.0,45,135,4.8,7.0,0.0,NotYet
