theta,a1,z1,a2,b2,z2,E,E1,E2,E3,E4,status
0,3.8,-1.3,1.7,4.2,0.0,-8.503641524119303,-4.487589446711354,-2.28382013499504,-0.2963114770245738,-1.4359204653883353,Done
0,3.8,-1.3,1.7,4.3,0.0,-8.876954125706106,-4.487589446711354,-2.4288270283141173,-0.2818869046750478,-1.6786507460055873,Done
0,3.8,-1.3,1.7,4.4,0.0,-8.994932280736975,-4.487589446711354,-2.454397433262784,-0.2683490039198659,-1.7845963968429714,Done
0,3.8,-1.3,-1.7,4.2,0.0,-8.189074526017066,-4.487589446711354,-2.283818879921455,-1.1337342396727763,-0.2839319597114809,Done
0,3.8,-1.3,-1.7,4.3,0.0,-8.767464298463892,-4.487589446711354,-2.4288264008355327,-1.580875902902335,-0.2701725480146706,Done
0,3.8,-1.3,-1.7,4.4,0.0,-9.017124799313024,-4.487589446711354,-2.454396805725992,-1.8179868314182384,-0.2571517154574394,Done
0,3.8,-1.3,-1.6,4.2,0.0,-8.34705644362839,-4.487589446711354,-2.268197645957116,-1.2864990391535684,-0.3047703118063509,Done
0,3.8,-1.3,-1.6,4.4,0.0,-9.08421252091648,-4.487589446711354,-2.491687842528336,-1.829960349714384,-0.2749748819624074,Done
0,3.8,-1.3,-1.5,4.2,0.0,-8.481043006409891,-4.487589446711354,-2.247902090079151,-1.4182617064216174,-0.3272897631977685,Done
0,3.8,-1.3,-1.5,4.3,0.0,-8.956176008097827,-4.487589446711354,-2.457051173027139,-1.700953706400469,-0.3105816819588654,Done
0,3.8,-1.3,-1.5,4.4,0.0,-9.137060785666108,-4.487589446711354,-2.523889773176052,-1.8310246067121625,-0.29455695906654,Done
0,3.8,1.3,1.4,4.3,0.0,-9.021213654545136,-4.487590701784939,-2.4633670612238348,-0.3331983973039314,-1.737057494232431,Done
0,3.8,1.3,1.4,4.4,0.0,-9.174937289382797,-4.487590701784939,-2.5507396711036563,-0.3157373041030951,-1.8208696123911068,Done
0,3.8,1.3,1.4,4.5,0.0,-9.137424114102032,-4.487590701784939,-2.5316985076642595,-0.299009142559953,-1.819125762092881,Done
0,3.8,1.3,1.5,4.5,0.0,-9.116157800075598,-4.487590701784939,-2.4922080482938327,-0.2792990534217097,-1.857059996575117,Done
0,3.8,1.3,1.6,4.5,0.0,-9.084071958845016,-4.487590701784939,-2.447815480933059,-0.2612292754347436,-1.8874365006922744,Done
0,3.8,1.3,-1.6,4.5,0.0,-8.96822733769659,-4.487590701784939,-2.447815480933059,-1.7597871614270844,-0.2730339935515076,Done
0,3.8,1.3,-1.5,4.5,0.0,-8.990255448734388,-4.487590701784939,-2.4922080482938327,-1.717904006538447,-0.2925526921171695,Done
0,3.8,1.3,-1.4,4.3,0.0,-9.007441065099556,-4.487590701784939,-2.463365806208458,-1.7061915323720314,-0.3502930247341282,Done
0,3.8,1.3,-1.4,4.4,0.0,-9.08604359527817,-4.487590701784939,-2.550739043566864,-1.7158526763669215,-0.3318611735594459,Done
0,3.8,1.3,-1.4,4.5,0.0,-9.004778540111147,-4.487590701784939,-2.5316985076642595,-1.6713797875563614,-0.3141095431055873,Done
0,3.8,-1.3,1.4,4.3,0.0,-9.007441692519931,-4.487589446711354,-2.4633670612238348,-0.3502930247341282,-1.706192159850616,Done
0,3.8,-1.3,1.4,4.4,0.0,-9.086043595219962,-4.487589446711354,-2.5507396711036563,-0.3318611735594459,-1.7158533038455062,Done
0,3.8,-1.3,1.4,4.5,0.0,-9.004777912574355,-4.487589446711354,-2.5316985076642595,-0.3141095431055873,-1.6713804150931535,Done
0,3.8,-1.3,1.5,4.5,0.0,-8.990254193660803,-4.487589446711354,-2.4922080482938327,-0.2925526921171695,-1.717904006538447,Done
0,3.8,-1.3,1.6,4.5,0.0,-8.968226082623005,-4.487589446711354,-2.447815480933059,-0.2730339935515076,-1.7597871614270844,Done
0,3.8,-1.3,-1.6,4.5,0.0,-9.084071331308223,-4.487589446711354,-2.447815480933059,-1.8874371282290667,-0.2612292754347436,Done
0,3.8,-1.3,-1.5,4.5,0.0,-9.116157800075598,-4.487589446711354,-2.4922080482938327,-1.8570612516487013,-0.2792990534217097,Done
0,3.8,-1.3,-1.4,4.3,0.0,-9.021213027008343,-4.487589446711354,-2.463365806208458,-1.7370593767846003,-0.3331983973039314,Done
0,3.8,-1.3,-1.4,4.4,0.0,-9.174936661787797,-4.487589446711354,-2.550739043566864,-1.820870867406484,-0.3157373041030951,Done
