theta,A2,a,b,z,E,E1,E2,E3,E4,status
20.0,6.0,7.3,6.9,0.0,-17.23949437891133,-0.4007153359707445,-2.1227910288143903,-7.357994007063098,-7.357994007063098,Done
20.0,8.0,7.4,6.9,0.0,-16.658482869621366,-0.3645519344136119,-1.6957390981260687,-7.299095918540843,-7.299095918540843,Done
20.0,10.0,7.4,7.0,0.0,-16.37668067892082,-0.3652547460515052,-1.7417857819236815,-7.134820075472817,-7.134820075472817,Done
25.0,-10.0,7.9,6.1,0.0,-20.791351581458,-0.2862010360695421,-5.452867371961474,-7.526141586713493,-7.526141586713493,Done
25.0,-8.0,7.8,6.1,0.0,-21.459423827705905,-0.3129204118158668,-5.722295065643266,-7.712104175123386,-7.712104175123386,Done
25.0,-6.0,7.7,6.1,0.0,-21.73014419199899,-0.342375730862841,-5.740856811404228,-7.82345582486596,-7.82345582486596,Done
25.0,-4.0,7.7,6.1,0.0,-21.58566001430154,-0.3428338135126978,-5.494044577935711,-7.874390811426565,-7.874390811426565,Done
25.0,-2.0,7.7,6.1,0.0,-21.018943182658404,-0.3433546465821564,-4.971422874601558,-7.852082830737345,-7.852082830737345,Done
25.0,2.0,7.7,6.3,0.0,-19.375117987161502,-0.3447100683115423,-3.6407628192100674,-7.694822549819946,-7.694822549819946,Done
25.0,4.0,7.7,6.4,0.0,-18.553939575096592,-0.3455321062356233,-3.0623115508351475,-7.573047959012911,-7.573047959012911,Done
25.0,6.0,7.7,6.5,0.0,-17.85911657870747,-0.3464419962838292,-2.6425952126737684,-7.435039684874937,-7.435039684874937,Done
25.0,8.0,7.8,6.6,0.0,-17.373938396107405,-0.3179091161582619,-2.406381623353809,-7.324823828297667,-7.324823828297667,Done
25.0,10.0,7.8,6.7,0.0,-17.011319192824885,-0.3188064554706216,-2.3408821295015514,-7.175815303926356,-7.175815303926356,Done
30.0,-10.0,8.4,5.8,0.0,-20.60102779790759,-0.2446661489084363,-6.3574418623466045,-6.999459893326275,-6.999459893326275,Done
30.0,-8.0,8.3,5.7,0.0,-21.033382187597454,-0.2650225730612874,-6.500325889093801,-7.134016862721182,-7.134016862721182,Done
30.0,-6.0,8.3,5.7,0.0,-21.24749487498775,-0.265292402356863,-6.456437839893624,-7.262882316368632,-7.262882316368632,Done
30.0,-4.0,8.2,5.8,0.0,-21.299490353791043,-0.2877572604920715,-6.2009032177738845,-7.405414937762544,-7.405414937762544,Done
30.0,-2.0,8.2,5.8,0.0,-20.834712521871552,-0.2882090678904205,-5.793128394288942,-7.3766875298460945,-7.3766875298460945,Done
30.0,2.0,8.1,6.0,0.0,-19.63365210685879,-0.3138365764170885,-4.676091568078846,-7.321861981181428,-7.321861981181428,Done
30.0,4.0,8.2,6.0,0.0,-18.747614261927083,-0.2901982746552676,-4.099397327983752,-7.179009329644032,-7.179009329644032,Done
30.0,6.0,8.2,6.2,0.0,-18.33254149719141,-0.2910830636974424,-3.73229770292528,-7.154580365284346,-7.154580365284346,Done
30.0,8.0,8.3,6.2,0.0,-17.635867345146835,-0.2695155451074242,-3.3532753880135715,-7.00653820601292,-7.00653820601292,Done
30.0,10.0,8.4,6.3,0.0,-17.248015963938087,-0.249792905524373,-3.1841928181238472,-6.9070151201449335,-6.9070151201449335,Done
35.0,-10.0,9.1,5.4,0.0,-19.307252780068666,-0.1898154995869845,-7.0005956867244095,-6.058420796878636,-6.058420796878636,Done
35.0,-8.0,9.0,5.4,0.0,-19.67097640107385,-0.2033069645985961,-7.039168726187199,-6.214250355144031,-6.214250355144031,Done
35.0,-6.0,8.9,5.4,0.0,-19.807761031435803,-0.2181726766284555,-6.9632211909629405,-6.313183581922203,-6.313183581922203,Done
35.0,-4.0,8.8,5.5,0.0,-19.977860167156905,-0.2345444129314273,-6.759958151495084,-6.491678801365197,-6.491678801365197,Done
35.0,-2.0,8.7,5.5,0.0,-19.68144326773472,-0.2525539493653923,-6.494151190621778,-6.467369063873775,-6.467369063873775,Done
35.0,2.0,8.8,5.6,0.0,-18.75691395998001,-0.2355672537814825,-5.736495616845787,-6.392425544676371,-6.392425544676371,Done
35.0,4.0,8.8,5.7,0.0,-18.319501840043813,-0.2362324146088212,-5.315223053330556,-6.384023186052218,-6.384023186052218,Done
35.0,6.0,9.0,5.7,0.0,-17.605552336899564,-0.2051894948817789,-4.98411112674512,-6.2081258576363325,-6.2081258576363325,Done
35.0,8.0,9.0,5.8,0.0,-17.256041817134246,-0.2060742839239537,-4.673562702722848,-6.1882024152437225,-6.1882024152437225,Done
35.0,10.0,9.2,5.8,0.0,-16.682058420265093,-0.1797565147280693,-4.46195378061384,-6.020174062461592,-6.020174062461592,Done
40.0,-10.0,4.5,11.0,0.0,-18.56463234592229,-8.542500708019361,-0.1116026535164564,-4.955264492193237,-4.955264492193237,Done
40.0,-8.0,4.5,10.7,0.0,-19.420261056162417,-8.542199503397569,-0.130133023718372,-5.373964264523238,-5.373964264523238,Done
40.0,-6.0,4.5,10.5,0.0,-19.85420304676518,-8.543272545561194,-0.1444653519429266,-5.583232574630529,-5.583232574630529,Done
40.0,-4.0,4.5,10.5,0.0,-19.71055973228067,-8.544565216172487,-0.1432417074684053,-5.51137640431989,-5.51137640431989,Done
40.0,-2.0,4.5,10.5,0.0,-19.09880023309961,-8.547821993008256,-0.1424322198145091,-5.204273010138422,-5.204273010138422,Done
40.0,2.0,4.5,10.7,0.0,-16.886814933270216,-8.56307676108554,-0.1265373912174254,-4.098600390483625,-4.098600390483625,Done
40.0,4.0,4.5,11.0,0.0,-15.870587588753551,-8.579981880728155,-0.1072979348246008,-3.591653886600397,-3.591653886600397,Done
40.0,6.0,4.5,11.2,0.0,-14.996346931438891,-8.605289358878508,-0.0970318713225424,-3.147012850618921,-3.147012850618921,Done
40.0,8.0,4.5,11.4,0.0,-14.408407712355256,-8.641258231829852,-0.0883722335565835,-2.8393886234844103,-2.8393886234844103,Done
40.0,10.0,4.5,11.6,0.0,-14.12325461860746,-8.68958277744241,-0.0810742920730263,-2.6762987745460123,-2.6762987745460123,Done
45.0,-10.0,4.8,10.3,0.0,-18.77806104742922,-7.831820532912388,-0.1406689167488366,-5.402785798883997,-5.402785798883997,Done
45.0,-8.0,4.8,10.1,0.0,-19.56372239300981,-7.83419879572466,-0.1570092772599309,-5.78625716001261,-5.78625716001261,Done
45.0,-6.0,4.8,10.0,0.0,-19.9653413433116,-7.821039911126718,-0.1657002905849367,-5.989300570799969,-5.989300570799969,Done
