theta,A2,a,b,z,E3,E4,machine_type,status,file_name
60.0,-6.0,5.7,8.3,0.0,-7.493849921855144,-7.493849921855144,3,Done,BTBT_theta=60_A2=-6_a=5.7_b=8.3_z=0.0_3.log
60.0,-4.0,5.7,8.2,0.0,-7.61098721367307,-7.61098721367307,3,Done,BTBT_theta=60_A2=-4_a=5.7_b=8.2_z=0.0_3.log
60.0,-2.0,5.8,8.2,0.0,-7.639576569199562,-7.639576569199562,3,Done,BTBT_theta=60_A2=-2_a=5.8_b=8.2_z=0.0_3.log
60.0,2.0,5.9,8.2,0.0,-7.314262835076079,-7.314262835076079,3,Done,BTBT_theta=60_A2=2_a=5.9_b=8.2_z=0.0_3.log
60.0,4.0,6.0,8.3,0.0,-7.049591667368077,-7.049591667368077,3,Done,BTBT_theta=60_A2=4_a=6.0_b=8.3_z=0.0_3.log
60.0,6.0,6.1,8.3,0.0,-6.773750821594149,-6.773750821594149,3,Done,BTBT_theta=60_A2=6_a=6.1_b=8.3_z=0.0_3.log
60.0,8.0,6.2,8.4,0.0,-6.471146674128249,-6.471146674128249,3,Done,BTBT_theta=60_A2=8_a=6.2_b=8.4_z=0.0_3.log
60.0,10.0,6.2,8.6,0.0,-6.076806840253994,-6.076806840253994,3,Done,BTBT_theta=60_A2=10_a=6.2_b=8.6_z=0.0_3.log
65.0,-10.0,6.1,7.9,0.0,-7.524346907855943,-7.524346907855943,3,Done,BTBT_theta=65_A2=-10_a=6.1_b=7.9_z=0.0_3.log
65.0,-8.0,6.1,7.8,0.0,-7.796849400619976,-7.796849400619976,3,Done,BTBT_theta=65_A2=-8_a=6.1_b=7.8_z=0.0_3.log
65.0,-6.0,6.0,7.8,0.0,-7.959048185613938,-7.959048185613938,3,Done,BTBT_theta=65_A2=-6_a=6.0_b=7.8_z=0.0_3.log
65.0,-4.0,6.1,7.7,0.0,-8.068285126355477,-8.068285126355477,3,Done,BTBT_theta=65_A2=-4_a=6.1_b=7.7_z=0.0_3.log
65.0,-2.0,6.1,7.7,0.0,-8.059098379919305,-8.059098379919305,3,Done,BTBT_theta=65_A2=-2_a=6.1_b=7.7_z=0.0_3.log
65.0,2.0,6.3,7.7,0.0,-7.827214609482326,-7.827214609482326,3,Done,BTBT_theta=65_A2=2_a=6.3_b=7.7_z=0.0_3.log
65.0,4.0,6.4,7.7,0.0,-7.625457594403997,-7.625457594403997,3,Done,BTBT_theta=65_A2=4_a=6.4_b=7.7_z=0.0_3.log
65.0,6.0,6.6,7.7,0.0,-7.419816292007454,-7.419816292007454,3,Done,BTBT_theta=65_A2=6_a=6.6_b=7.7_z=0.0_3.log
65.0,8.0,6.7,7.8,0.0,-7.159311790834181,-7.159311790834181,3,Done,BTBT_theta=65_A2=8_a=6.7_b=7.8_z=0.0_3.log
65.0,10.0,6.7,7.9,0.0,-6.8340670828474686,-6.8340670828474686,3,Done,BTBT_theta=65_A2=10_a=6.7_b=7.9_z=0.0_3.log
70.0,-10.0,6.5,7.4,0.0,-7.711928472155705,-7.711928472155705,3,Done,BTBT_theta=70_A2=-10_a=6.5_b=7.4_z=0.0_3.log
70.0,-8.0,6.4,7.4,0.0,-7.968172180699184,-7.968172180699184,3,Done,BTBT_theta=70_A2=-8_a=6.4_b=7.4_z=0.0_3.log
70.0,-6.0,6.4,7.3,0.0,-8.071435226360336,-8.071435226360336,3,Done,BTBT_theta=70_A2=-6_a=6.4_b=7.3_z=0.0_3.log
70.0,-4.0,6.4,7.3,0.0,-8.143874980742112,-8.143874980742112,3,Done,BTBT_theta=70_A2=-4_a=6.4_b=7.3_z=0.0_3.log
70.0,-2.0,6.4,7.3,0.0,-8.146824277820997,-8.146824277820997,3,Done,BTBT_theta=70_A2=-2_a=6.4_b=7.3_z=0.0_3.log
70.0,2.0,6.6,7.3,0.0,-7.923054211889394,-7.923054211889394,3,Done,BTBT_theta=70_A2=2_a=6.6_b=7.3_z=0.0_3.log
70.0,4.0,6.8,7.3,0.0,-7.726555730216205,-7.726555730216205,3,Done,BTBT_theta=70_A2=4_a=6.8_b=7.3_z=0.0_3.log
70.0,6.0,6.9,7.3,0.0,-7.545004537096247,-7.545004537096247,3,Done,BTBT_theta=70_A2=6_a=6.9_b=7.3_z=0.0_3.log
70.0,8.0,7.0,7.3,0.0,-7.325639591435902,-7.325639591435902,3,Done,BTBT_theta=70_A2=8_a=7.0_b=7.3_z=0.0_3.log
70.0,10.0,7.1,7.4,0.0,-7.132554764510132,-7.132554764510132,3,Done,BTBT_theta=70_A2=10_a=7.1_b=7.4_z=0.0_3.log
80.0,-10.0,7.1,6.9,0.0,-6.816798007814214,-6.816798007814214,3,Done,BTBT_theta=80_A2=-10_a=7.1_b=6.9_z=0.0_3.log
80.0,-8.0,7.0,6.9,0.0,-7.091892116703093,-7.091892116703093,3,Done,BTBT_theta=80_A2=-8_a=7.0_b=6.9_z=0.0_3.log
80.0,-6.0,6.9,6.9,0.0,-7.351285924902186,-7.351285924902186,3,Done,BTBT_theta=80_A2=-6_a=6.9_b=6.9_z=0.0_3.log
80.0,-4.0,6.8,6.9,0.0,-7.578049213974737,-7.578049213974737,3,Done,BTBT_theta=80_A2=-4_a=6.8_b=6.9_z=0.0_3.log
80.0,-2.0,6.9,6.9,0.0,-7.507021356839687,-7.507021356839687,3,Done,BTBT_theta=80_A2=-2_a=6.9_b=6.9_z=0.0_3.log
80.0,2.0,7.1,6.9,0.0,-7.31551158009097,-7.31551158009097,3,Done,BTBT_theta=80_A2=2_a=7.1_b=6.9_z=0.0_3.log
80.0,4.0,7.2,6.9,0.0,-7.1901288067456335,-7.1901288067456335,3,Done,BTBT_theta=80_A2=4_a=7.2_b=6.9_z=0.0_3.log
80.0,6.0,7.3,6.9,0.0,-7.043975452776067,-7.043975452776067,3,Done,BTBT_theta=80_A2=6_a=7.3_b=6.9_z=0.0_3.log
80.0,8.0,7.4,6.9,0.0,-6.8769699414260685,-6.8769699414260685,3,Done,BTBT_theta=80_A2=8_a=7.4_b=6.9_z=0.0_3.log
80.0,10.0,7.4,6.9,0.0,-6.814463670249097,-6.814463670249097,3,Done,BTBT_theta=80_A2=10_a=7.4_b=6.9_z=0.0_3.log
