theta,phi,z,r,status
40.0,30.0,0.6,4.2,NotYet
40.0,35.0,0.6,4.3,NotYet
40.0,40.0,0.6,4.4,NotYet
40.0,45.0,0.6,4.4,NotYet
40.0,50.0,0.6,4.4,NotYet
40.0,55.0,0.6,4.4,NotYet
40.0,60.0,0.6,4.4,NotYet
40.0,65.0,0.6,4.5,NotYet
40.0,70.0,0.6,4.7,NotYet
40.0,75.0,0.6,4.9,NotYet
40.0,80.0,0.6,5.0,NotYet
40.0,85.0,0.6,5.1,NotYet
40.0,90.0,0.6,5.1,NotYet
45.0,0.0,0.6,5.1,NotYet
45.0,5.0,0.6,5.1,NotYet
45.0,10.0,0.6,5.0,NotYet
45.0,15.0,0.6,4.9,NotYet
45.0,20.0,0.6,4.7,NotYet
45.0,25.0,0.6,4.5,NotYet
45.0,30.0,0.6,4.3,NotYet
45.0,35.0,0.6,4.3,NotYet
45.0,40.0,0.6,4.3,NotYet
45.0,45.0,0.6,4.3,NotYet
45.0,50.0,0.6,4.3,NotYet
45.0,55.0,0.6,4.3,NotYet
45.0,60.0,0.6,4.3,NotYet
45.0,65.0,0.6,4.5,NotYet
45.0,70.0,0.6,4.7,NotYet
45.0,75.0,0.6,4.9,NotYet
45.0,80.0,0.6,5.0,NotYet
45.0,85.0,0.6,5.0,NotYet
45.0,90.0,0.6,5.1,NotYet
50.0,0.0,0.6,5.1,NotYet
50.0,5.0,0.6,5.1,NotYet
50.0,10.0,0.6,5.0,NotYet
50.0,15.0,0.6,4.9,NotYet
50.0,20.0,0.6,4.7,NotYet
50.0,25.0,0.6,4.5,NotYet
50.0,30.0,0.6,4.4,NotYet
50.0,35.0,0.6,4.4,NotYet
50.0,40.0,0.6,4.5,NotYet
50.0,45.0,0.6,4.4,NotYet
50.0,50.0,0.6,4.4,NotYet
50.0,55.0,0.6,4.3,NotYet
50.0,60.0,0.6,4.2,NotYet
50.0,65.0,0.6,4.5,NotYet
50.0,70.0,0.6,4.7,NotYet
50.0,75.0,0.6,4.8,NotYet
50.0,80.0,0.6,4.9,NotYet
50.0,85.0,0.6,5.0,NotYet
50.0,90.0,0.6,5.0,NotYet
55.0,0.0,0.6,5.1,NotYet
55.0,5.0,0.6,5.1,NotYet
55.0,10.0,0.6,5.0,NotYet
55.0,15.0,0.6,4.9,NotYet
55.0,20.0,0.6,4.7,NotYet
55.0,25.0,0.6,4.5,NotYet
55.0,30.0,0.6,4.5,NotYet
55.0,35.0,0.6,4.6,NotYet
55.0,40.0,0.6,4.6,NotYet
55.0,45.0,0.6,4.6,NotYet
55.0,50.0,0.6,4.5,NotYet
55.0,55.0,0.6,4.4,NotYet
55.0,60.0,0.6,4.3,NotYet
55.0,65.0,0.6,4.4,NotYet
55.0,70.0,0.6,4.6,NotYet
55.0,75.0,0.6,4.8,NotYet
55.0,80.0,0.6,4.9,NotYet
55.0,85.0,0.6,5.0,NotYet
55.0,90.0,0.6,5.0,NotYet
60.0,0.0,0.6,5.1,NotYet
60.0,5.0,0.6,5.1,NotYet
60.0,10.0,0.6,5.0,NotYet
60.0,15.0,0.6,4.9,NotYet
60.0,20.0,0.6,4.7,NotYet
60.0,25.0,0.6,4.6,NotYet
60.0,30.0,0.6,4.7,NotYet
60.0,35.0,0.6,4.7,NotYet
60.0,40.0,0.6,4.7,NotYet
60.0,45.0,0.6,4.7,NotYet
60.0,50.0,0.6,4.6,NotYet
60.0,55.0,0.6,4.5,NotYet
60.0,60.0,0.6,4.4,NotYet
60.0,65.0,0.6,4.4,NotYet
60.0,70.0,0.6,4.6,NotYet
60.0,75.0,0.6,4.7,NotYet
60.0,80.0,0.6,4.8,NotYet
60.0,85.0,0.6,4.9,NotYet
60.0,90.0,0.6,4.9,NotYet
65.0,0.0,0.6,5.0,NotYet
65.0,5.0,0.6,5.0,NotYet
65.0,10.0,0.6,4.9,NotYet
65.0,15.0,0.6,4.8,NotYet
65.0,20.0,0.6,4.7,NotYet
65.0,25.0,0.6,4.7,NotYet
65.0,30.0,0.6,4.8,NotYet
65.0,35.0,0.6,4.8,NotYet
65.0,40.0,0.6,4.8,NotYet
65.0,45.0,0.6,4.8,NotYet
65.0,50.0,0.6,4.8,NotYet
65.0,55.0,0.6,4.6,NotYet
65.0,60.0,0.6,4.5,NotYet
65.0,65.0,0.6,4.3,NotYet
65.0,70.0,0.6,4.5,NotYet
65.0,75.0,0.6,4.6,NotYet
65.0,80.0,0.6,4.7,NotYet
65.0,85.0,0.6,4.8,NotYet
65.0,90.0,0.6,4.8,NotYet
70.0,0.0,0.6,5.0,NotYet
70.0,5.0,0.6,4.9,NotYet
70.0,10.0,0.6,4.9,NotYet
70.0,15.0,0.6,4.8,NotYet
70.0,20.0,0.6,4.7,NotYet
70.0,25.0,0.6,4.8,NotYet
70.0,30.0,0.6,4.9,NotYet
70.0,35.0,0.6,4.9,NotYet
70.0,40.0,0.6,4.9,NotYet
70.0,45.0,0.6,4.9,NotYet
70.0,50.0,0.6,4.8,NotYet
70.0,55.0,0.6,4.7,NotYet
70.0,60.0,0.6,4.6,NotYet
70.0,65.0,0.6,4.4,NotYet
70.0,70.0,0.6,4.4,NotYet
70.0,75.0,0.6,4.5,NotYet
70.0,80.0,0.6,4.6,NotYet
70.0,85.0,0.6,4.7,NotYet
70.0,90.0,0.6,4.7,NotYet
75.0,0.0,0.6,4.9,NotYet
75.0,5.0,0.6,4.8,NotYet
75.0,10.0,0.6,4.8,NotYet
75.0,15.0,0.6,4.7,NotYet
75.0,20.0,0.6,4.7,NotYet
75.0,25.0,0.6,4.8,NotYet
75.0,30.0,0.6,4.9,NotYet
75.0,35.0,0.6,5.0,NotYet
75.0,40.0,0.6,5.0,NotYet
75.0,45.0,0.6,5.0,NotYet
75.0,50.0,0.6,4.9,NotYet
75.0,55.0,0.6,4.8,NotYet
75.0,60.0,0.6,4.6,NotYet
75.0,65.0,0.6,4.4,NotYet
75.0,70.0,0.6,4.3,NotYet
75.0,75.0,0.6,4.4,NotYet
75.0,80.0,0.6,4.5,NotYet
75.0,85.0,0.6,4.5,NotYet
75.0,90.0,0.6,4.6,NotYet
80.0,0.0,0.6,4.8,NotYet
80.0,5.0,0.6,4.7,NotYet
80.0,10.0,0.6,4.7,NotYet
80.0,15.0,0.6,4.6,NotYet
80.0,20.0,0.6,4.7,NotYet
80.0,25.0,0.6,4.9,NotYet
80.0,30.0,0.6,5.0,NotYet
80.0,35.0,0.6,5.1,NotYet
80.0,40.0,0.6,5.1,NotYet
80.0,45.0,0.6,5.0,NotYet
80.0,50.0,0.6,5.0,NotYet
80.0,55.0,0.6,4.8,NotYet
80.0,60.0,0.6,4.7,NotYet
80.0,65.0,0.6,4.5,NotYet
80.0,70.0,0.6,4.2,NotYet
80.0,75.0,0.6,4.3,NotYet
80.0,80.0,0.6,4.3,NotYet
80.0,85.0,0.6,4.4,NotYet
80.0,90.0,0.6,4.4,NotYet
85.0,0.0,0.6,4.6,NotYet
85.0,5.0,0.6,4.6,NotYet
85.0,10.0,0.6,4.6,NotYet
85.0,15.0,0.6,4.6,NotYet
85.0,20.0,0.6,4.8,NotYet
85.0,25.0,0.6,4.9,NotYet
85.0,30.0,0.6,5.0,NotYet
85.0,35.0,0.6,5.1,NotYet
85.0,40.0,0.6,5.1,NotYet
85.0,45.0,0.6,5.1,NotYet
85.0,50.0,0.6,5.0,NotYet
85.0,55.0,0.6,4.9,NotYet
85.0,60.0,0.6,4.7,NotYet
85.0,65.0,0.6,4.5,NotYet
85.0,70.0,0.6,4.2,NotYet
85.0,75.0,0.6,4.1,NotYet
85.0,80.0,0.6,4.2,NotYet
85.0,85.0,0.6,4.2,NotYet
85.0,90.0,0.6,4.2,NotYet
90.0,0.0,0.6,4.5,NotYet
90.0,5.0,0.6,4.5,NotYet
90.0,10.0,0.6,4.4,NotYet
90.0,15.0,0.6,4.6,NotYet
90.0,20.0,0.6,4.8,NotYet
90.0,25.0,0.6,4.9,NotYet
90.0,30.0,0.6,5.0,NotYet
90.0,35.0,0.6,5.1,NotYet
90.0,40.0,0.6,5.1,NotYet
90.0,45.0,0.6,5.1,NotYet
90.0,50.0,0.6,5.0,NotYet
90.0,55.0,0.6,4.9,NotYet
90.0,60.0,0.6,4.7,NotYet
90.0,65.0,0.6,4.5,NotYet
90.0,70.0,0.6,4.2,NotYet
90.0,75.0,0.6,4.0,NotYet
90.0,80.0,0.6,4.0,NotYet
90.0,85.0,0.6,4.0,NotYet
90.0,90.0,0.6,4.1,NotYet
